Well,Time,Observed
199-H3-6,2/14/2015,115.896
199-H3-6,3/16/2015,115.914
199-H3-6,4/15/2015,115.542
199-H3-6,8/16/2015,115.336
199-H3-6,11/15/2015,114.708
199-H3-6,2/15/2016,114.897
199-H3-6,3/16/2016,115.147
199-H3-6,5/16/2016,115.855
199-H3-6,11/15/2016,115.147
199-H3-6,2/14/2017,115.382
199-H3-6,3/16/2017,115.457
199-H3-6,5/16/2017,116.813
199-H3-6,11/15/2017,114.57
199-H3-6,2/14/2018,115.389
199-H3-6,3/16/2018,115.611
199-H3-6,5/16/2018,115.97
199-H3-6,10/16/2018,114.741
199-H3-6,2/14/2019,114.939
199-H3-6,5/16/2019,114.953
199-H3-6,11/15/2019,114.454
199-H3-6,3/16/2020,114.99
199-H3-7,2/14/2014,115.676
199-H3-7,3/16/2014,115.62
199-H3-7,5/16/2014,116.04
199-H3-7,8/16/2014,116.564
199-H3-7,10/16/2014,115.74
199-H3-7,2/14/2015,115.95
199-H3-7,3/16/2015,116.178
199-H3-7,4/15/2015,116.066
199-H3-7,8/16/2015,115.6
199-H3-7,11/15/2015,115.176
199-H3-7,2/15/2016,115.128
199-H3-7,3/16/2016,115.174
199-H3-7,5/16/2016,115.625
199-H3-7,11/15/2016,115.265
