Well,Time,Observed,Simulated
699-98-43,2020-04-15,115.2619,115.543
699-98-43,2020-06-15,116.3602,116.0671
699-98-43,2020-07-16,116.5864,116.2542
699-98-43,2020-08-16,116.1902,116.1842
699-98-43,2020-09-15,115.9285,116.0038
699-98-43,2020-10-16,115.7171,115.7972
699-98-43,2020-11-15,115.5156,115.659
699-98-43,2020-12-16,115.478,115.6086
699-99-41,2014-01-31,115.3872,115.1572
699-99-41,2014-02-14,115.0152,114.9553
699-99-41,2014-03-16,115.6775,115.1698
699-99-41,2014-04-15,115.9915,115.7707
699-99-41,2014-05-16,116.5193,116.3425
699-99-41,2014-06-15,116.6063,116.6198
699-99-41,2014-07-16,116.4317,116.3765
699-99-41,2014-08-16,115.8587,115.8483
699-99-41,2014-09-15,115.1391,115.0697
699-99-41,2014-10-16,115.0962,114.604
699-99-41,2014-11-15,115.354,114.7793
699-99-41,2015-02-14,116.1323,115.9676
699-99-41,2015-03-16,116.0236,115.9868
699-99-41,2015-04-15,115.7556,115.7098
699-99-41,2015-05-16,115.7019,115.5775
699-99-41,2015-06-15,115.6394,115.5707
699-99-41,2015-07-16,115.4931,115.3983
699-99-41,2015-08-16,115.6007,115.309
699-99-41,2015-09-15,115.0106,115.0023
699-99-41,2015-10-16,114.9148,114.6235
699-99-41,2015-11-15,115.2697,114.7843
699-99-41,2015-12-16,115.2831,115.0215
699-99-41,2016-01-16,115.3883,115.1246
699-99-41,2016-02-15,115.4626,115.2415
699-99-41,2016-03-16,115.6886,115.4285
699-99-41,2016-04-15,116.0592,115.8861
699-99-41,2016-05-16,116.0466,116.0941
699-99-41,2016-06-15,115.9338,115.9082
699-99-41,2016-07-16,115.6988,115.6697
699-99-41,2016-08-16,115.4466,115.3442
699-99-41,2016-09-15,114.8517,114.8807
699-99-41,2016-10-16,115.0214,114.6661
699-99-41,2016-11-15,115.5258,114.9995
699-99-41,2016-12-16,115.7494,115.4274
699-99-41,2017-01-16,115.9263,115.6848
699-99-41,2017-02-14,115.7605,115.7041
699-99-41,2017-03-16,116.0095,115.8965
699-99-41,2017-04-15,116.6156,116.521
699-99-41,2017-05-16,117.0547,117.1457
699-99-41,2017-06-15,117.1035,117.2689
699-99-41,2017-07-16,116.0176,116.4347
699-99-41,2017-08-16,115.4561,115.4292
699-99-41,2017-09-15,115.1248,114.9442
699-99-41,2017-10-16,114.7431,114.5845
699-99-41,2017-11-15,114.9936,114.5598
699-99-41,2017-12-16,115.4012,114.9587
699-99-41,2018-01-16,115.7994,115.4439
699-99-41,2018-02-14,116.0662,115.8933
699-99-41,2018-03-16,115.7459,115.8458
699-99-41,2018-04-15,115.9701,115.818
699-99-41,2018-05-16,117.3665,117.0211
699-99-41,2018-06-15,116.8207,117.2901
699-99-41,2018-07-16,115.9839,116.1748
699-99-41,2018-08-16,115.5657,115.4718
699-99-41,2018-09-15,114.9246,114.9015
699-99-41,2018-10-16,114.7864,114.5415
699-99-41,2018-11-15,115.3293,114.7688
699-99-41,2018-12-16,115.2333,115.0138
699-99-41,2019-01-16,115.3176,115.0618
699-99-41,2019-02-14,115.3049,115.114
699-99-41,2019-03-16,114.9895,114.9455
699-99-41,2019-04-15,114.9466,114.8109
699-99-41,2019-05-16,115.941,115.3931
699-99-41,2019-06-15,115.746,115.7559
699-99-41,2019-07-16,115.3454,115.3598
699-99-41,2019-08-16,115.3605,115.1201
699-99-41,2019-09-15,114.6267,114.7124
699-99-41,2019-10-16,114.53,114.3233
699-99-41,2019-11-15,115.261,114.6689
699-99-41,2019-12-16,115.2167,115.0072
699-99-41,2020-01-16,115.4123,115.1288
699-99-41,2020-02-14,115.7273,115.4173
699-99-41,2020-03-16,115.1282,115.2557
699-99-41,2020-04-15,115.0753,114.9441
699-99-41,2020-05-16,116.3112,115.7842
699-99-41,2020-06-15,116.7875,116.7909
699-99-41,2020-07-16,116.3928,116.6272
699-99-41,2020-08-16,115.7955,115.9156
699-99-41,2020-09-15,114.9982,115.1585
699-99-41,2020-10-16,114.8815,114.6687
699-99-41,2020-11-15,115.4907,114.9129
699-99-41,2020-12-16,115.4652,115.2273
699-99-42B,2014-01-31,115.6167,115.2445
699-99-42B,2014-02-14,115.4051,115.0601
699-99-42B,2014-03-16,115.7858,115.2583
699-99-42B,2014-04-15,116.1801,115.819
699-99-42B,2014-05-16,116.9133,116.3841
699-99-42B,2014-06-15,116.9658,116.682
699-99-42B,2014-07-16,116.7173,116.4671
699-99-42B,2014-08-16,116.0823,115.946
699-99-42B,2014-09-15,115.2621,115.1927
699-99-42B,2014-10-16,115.1167,114.7548
699-99-42B,2014-11-15,115.4417,114.9032
699-99-42B,2014-12-16,115.5868,115.2849
699-99-42B,2015-01-16,115.8939,115.6929
699-99-42B,2015-02-14,116.1637,116.0265
699-99-42B,2015-03-16,116.0226,116.0646
699-99-42B,2015-04-15,115.7582,115.7984
699-99-42B,2015-05-16,115.6551,115.6619
699-99-42B,2015-06-15,115.6709,115.6462
699-99-42B,2015-07-16,115.5646,115.4789
699-99-42B,2015-08-16,115.6556,115.3846
699-99-42B,2015-09-15,115.2099,115.1132
699-99-42B,2015-10-16,115.0765,114.7858
699-99-42B,2015-11-15,115.3223,114.9254
