"NAME","XCOORDS","YCOORDS","EVENT","VAL","TYPE"
"RIV_CP_19",577848.53,153261.14,4,114.155786774624,"RIV_CP"
"RIV_CP_20",578660.36,152182.275,4,113.816308570401,"RIV_CP"
"RIV_CP_21",579397.24,150484.89,4,113.350079034711,"RIV_CP"
"RIV_CP_22",579907.845,149251.085,4,113.01066460378,"RIV_CP"
"RIV_CP_23",581350.665,148229.41,4,112.600434548403,"RIV_CP"
"RIV_CP_24",582843.31,146570.205,4,112.061699210242,"RIV_CP"
"RIV_CP_25",583296.74,144918.47,4,111.11116575602,"RIV_CP"
"RIV_CP_26",583698.115,143550.025,4,110.219034589861,"RIV_CP"
"RIV_CP_27",584679.365,142053.34,4,109.26214064028,"RIV_CP"
"RIV_CP_28",585744.635,140744.36,4,108.786503454772,"RIV_CP"
"RIV_CP_29",586560.4,139773.885,4,108.602136917063,"RIV_CP"
"RIV_CP_30",588483.895,138335.155,4,108.252921412449,"RIV_CP"
"RIV_CP_31",590500.885,136621.33,4,107.864712795833,"RIV_CP"
"RIV_CP_32",591298.77,135385.53,4,107.649993111706,"RIV_CP"
"RIV_CP_33",592526.29,134248.62,4,107.398407491025,"RIV_CP"
"RIV_CP_34",594136.51,132188.4,4,107.001639746632,"RIV_CP"
"RIV_CP_35",594665.435,130484.305,4,106.73501929254,"RIV_CP"
"RIV_CP_36",594648.18,129383.64,4,106.574533503659,"RIV_CP"
"RIV_CP_37",594889.435,127880.99,4,106.353301967955,"RIV_CP"
"RIV_CP_38",595046.59,126215.585,4,106.108216602,"RIV_CP"
"RIV_CP_39",595165,123933.88,4,105.776363993099,"RIV_CP"
"RIV_CP_40",595098.76,121005.25,4,105.349067918493,"RIV_CP"
"RIV_CP_41",594655.965,118429.83,4,104.969520929673,"RIV_CP"
"RIV_CP_42",595016.1,113778.59,4,104.284054606803,"RIV_CP"
"RIV_CP_43",594338.835,105531.415,4,103.061788322235,"RIV_CP"
"RIV_CP_01",550114.325,143742.035,5,125.728229915856,"RIV_CP"
"RIV_CP_02",554633.79,144304.29,5,124.440535549585,"RIV_CP"
"RIV_CP_03",558566.085,145454.23,5,123.175564625727,"RIV_CP"
"RIV_CP_04",560043.375,146167.09,5,122.671853817853,"RIV_CP"
"RIV_CP_05",561331.08,146355.965,5,122.268429467844,"RIV_CP"
"RIV_CP_06",563178.115,145883.48,5,121.678108025009,"RIV_CP"
"RIV_CP_07",564867.72,145463.455,5,121.15299268467,"RIV_CP"
"RIV_CP_08",566845.175,146186.655,5,120.746385268307,"RIV_CP"
"RIV_CP_09",569628.205,148212.56,5,119.936934581249,"RIV_CP"
"RIV_CP_10",571679.61,150577.26,5,118.961308882777,"RIV_CP"
