NAME,EVENT,TYPE,VAL
199-K-236,2022-02-08 09:35:00,MAN,120.991
299-W18-21,2022-02-08 09:38:00,MAN,136.779
699-52-55,2022-02-08 09:43:00,MAN,121.584
299-E27-16,2022-02-08 10:00:00,MAN,121.417
299-W18-22,2022-02-08 10:07:00,MAN,135.94799999999998
699-61-62,2022-02-08 10:21:00,MAN,121.52600000000001
699-64-62,2022-02-08 10:37:00,MAN,121.491
199-K-205,2022-02-08 10:38:00,MAN,120.95299999999999
299-W6-3,2022-02-08 10:50:00,MAN,129.947
699-63-58,2022-02-08 11:13:00,MAN,121.445
699-60-57,2022-02-08 11:22:00,MAN,121.521
699-59-58,2022-02-08 11:37:00,MAN,121.522
699-57-59,2022-02-08 11:45:00,MAN,121.51
699-61-66,2022-02-08 11:58:00,MAN,121.542
699-65-72,2022-02-08 12:11:00,MAN,121.626
699-66-64,2022-02-08 12:26:00,MAN,121.492
699-67-86,2022-02-08 13:05:00,MAN,121.932
299-E33-40,2022-02-09 07:40:00,MAN,121.65
699-S6-E4F,2022-02-09 08:12:00,MAN,112.66799999999999
299-E33-340,2022-02-09 08:13:00,MAN,121.58
699-24-46,2022-02-09 08:21:00,MAN,121.85600000000001
699-S6-E4E,2022-02-09 08:33:00,MAN,113.01700000000001
299-E33-14,2022-02-09 08:54:00,MAN,121.50200000000001
699-S6-E4K,2022-02-09 09:40:00,MAN,113.321
699-44-70B,2022-02-09 09:40:00,MAN,124.945
699-S6-E3B,2022-02-09 10:13:00,MAN,113.31700000000001
699-34-72,2022-02-09 10:22:00,MAN,129.803
299-E33-21,2022-02-09 10:45:00,MAN,121.57600000000001
699-S6-E3,2022-02-09 10:59:00,MAN,113.314
699-38-61,2022-02-09 11:12:00,MAN,123.7
699-S6-E4B,2022-02-09 11:44:00,MAN,112.779
699-47-53B,2022-02-09 12:13:00,MAN,121.492
299-E28-28,2022-02-09 12:18:00,MAN,121.46799999999999
299-W10-1,2022-02-10 07:38:00,MAN,131.425
199-D7-7,2022-02-10 07:53:00,MAN,117.773
299-W14-71,2022-02-10 08:01:00,MAN,125.85600000000001
199-D11-1,2022-02-10 08:20:00,MAN,117.72200000000001
699-98-50,2022-02-10 08:47:00,MAN,117.664
299-E27-9,2022-02-10 09:34:00,MAN,121.522
199-H3-31,2022-02-10 09:35:00,MAN,115.21799999999999
299-W11-87,2022-02-10 09:37:00,MAN,122.51
299-E27-10,2022-02-10 10:10:00,MAN,121.515
699-70-29,2022-02-10 10:20:00,MAN,113.064
299-W11-88,2022-02-10 10:21:00,MAN,124.402
299-E25-6,2022-02-10 10:52:00,MAN,121.499
699-71-24,2022-02-10 10:56:00,MAN,112.345
299-W11-18,2022-02-10 11:23:00,MAN,129.371
199-H4-94,2022-02-14 07:46:00,MAN,115.42
299-W15-44,2022-02-14 07:52:00,MAN,130.385
299-W19-4,2022-02-14 08:04:00,MAN,126.786
699-47-55,2022-02-14 08:32:00,MAN,121.522
299-W19-107,2022-02-14 08:42:00,MAN,126.802
299-W15-765,2022-02-14 08:49:00,MAN,129.06799999999998
299-W20-1,2022-02-14 09:24:00,MAN,127.844
299-W15-33,2022-02-14 09:35:00,MAN,133.534
299-W10-27,2022-02-14 09:36:00,MAN,128.569
299-W19-36,2022-02-14 09:54:00,MAN,128.10299999999998
