"NAME"|"WELL_ID"|"TYPE"|"STATUS"|"TD"|"BOH"|"ZCOORDS"|"YCOORDS"|"XCOORDS"|"OU"
"299-W21-82"|"A7824"|"VADOSE WELL"|"DECOMMISSIONED-V"|30.000||214.121|134609.770|568083.125|"200-UP-1"
"299-W21-83"|"A7825"|"VADOSE WELL"|"DECOMMISSIONED-V"|32.000||214.121|134618.355|568104.131|"200-UP-1"
"299-W21-84"|"A7826"|"VADOSE WELL"|"DECOMMISSIONED-V"|34.000|||||
"299-W22-1"|"A7827"|"GROUNDWATER WELL"|"DECOMMISSIONED-V"|306.000|237.900|205.245|134268.110|566974.564|"200-UP-1"
"299-W22-10"|"A7835"|"GROUNDWATER WELL"|"IN-USE"|312.000||205.864|134215.144|567012.978|"200-UP-1"
"299-W22-100"|"C8286"|"CANCELLED SITE"|"DRILLING CANCELLED"|||212.080|134661.000|567616.000|"200-UP-1"
"299-W22-101"|"C8287"|"CANCELLED SITE"|"DRILLING CANCELLED"|||212.000|134657.000|567616.000|"200-UP-1"
"299-W22-102"|"C8288"|"CANCELLED SITE"|"DRILLING CANCELLED"|||211.980|134653.000|567616.000|"200-UP-1"
"299-W22-103"|"C8376"|"CANCELLED SITE"|"DRILLING CANCELLED"||||||
"299-W22-104"|"C8377"|"CANCELLED SITE"|"DRILLING CANCELLED"||||||
"299-W22-105"|"C8378"|"CANCELLED SITE"|"DRILLING CANCELLED"||||||
"299-W22-106"|"C8379"|"CANCELLED SITE"|"DRILLING CANCELLED"||||||
"299-W22-107"|"C8380"|"CANCELLED SITE"|"DRILLING CANCELLED"||||||
"299-W22-108"|"C8381"|"CANCELLED SITE"|"DRILLING CANCELLED"||||||
"299-W22-109"|"C8382"|"CANCELLED SITE"|"DRILLING CANCELLED"||||||
"299-W22-11"|"A7836"|"PIEZOMETER HOST"|"DECOMMISSIONED-V"|308.000|303.700|204.503|134262.593|566953.717|"200-UP-1"
"299-W22-110"|"C8383"|"CANCELLED SITE"|"DRILLING CANCELLED"||||||
"299-W22-111"|"C8384"|"CANCELLED SITE"|"DRILLING CANCELLED"||||||
"299-W22-112"|"C8385"|"CANCELLED SITE"|"DRILLING CANCELLED"||||||
"299-W22-113"|"C8943"|"GROUNDWATER WELL"|"IN-USE"|271.300||204.754|134192.750|566904.520|"200-UP-1"
"299-W22-114"|"C9411"|"GROUNDWATER WELL"|"IN-USE"|459.780||208.290|134048.070|567726.310|"200-UP-1"
"299-W22-115"|"C9430"|"GROUNDWATER WELL"|"IN-USE"|272.300||204.366|134292.430|566939.390|"200-UP-1"
"299-W22-116"|"C9431"|"GROUNDWATER WELL"|"IN-USE"|275.300||204.911|134139.920|566900.500|"200-UP-1"
"299-W22-117"|"C9515"|"GROUNDWATER WELL"|"IN-USE"|87.300||212.066|134659.960|567619.030|"200-UP-1"
"299-W22-118"|"C9516"|"VADOSE WELL"|"DECOMMISSIONED-V"|35.500||212.470|134669.040|567616.160|"200-UP-1"
"299-W22-119"|"C9517"|"GROUNDWATER WELL"|"IN-USE"|81.500||212.079|134662.990|567624.050|"200-UP-1"
"299-W22-11O"|"A9563"|"HOSTED PIEZOMETER"|"DECOMMISSIONED-V"|308.000|||134262.593|566953.717|"200-UP-1"
"299-W22-11P"|"A9564"|"HOSTED PIEZOMETER"|"DECOMMISSIONED-V"|308.000|||134262.593|566953.717|"200-UP-1"
"299-W22-12"|"A7837"|"GROUNDWATER WELL"|"DECOMMISSIONED-V"|321.000|222.600|208.117|134184.891|567191.077|"200-UP-1"
"299-W22-120"|"C9518"|"GROUNDWATER WELL"|"IN-USE"|82.500||212.147|134662.990|567621.010|"200-UP-1"
"299-W22-121"|"C9519"|"GROUNDWATER WELL"|"IN-USE"|81.500||212.101|134662.990|567618.980|"200-UP-1"
"299-W22-122"|"C9520"|"GROUNDWATER WELL"|"IN-USE"|81.000||212.134|134663.000|567615.930|"200-UP-1"
"299-W22-123"|"C9566"|"GROUNDWATER WELL"|"IN-USE"|462.200||208.848|133914.000|567593.020|"200-UP-1"
"299-W22-124"|"C9583"|"GROUNDWATER WELL"|"IN-USE"|80.500||211.996|134657.000|567619.000|"200-UP-1"
"299-W22-125"|"D0003"|"PROPOSED SITE"|"AWAITING DRILLING"|||205.100|134253.600|567028.500|"200-UP-1"
"299-W22-126"|"D0211"|"PROPOSED SITE"|"AWAITING DRILLING"|||204.800|134011.400|567152.400|"200-UP-1"
"299-W22-127"|"C9981"|"PROPOSED SITE"|"AWAITING DRILLING"|||208.300|134510.700|567240.700|"200-UP-1"
"299-W22-128"|"D0304"|"PROPOSED SITE"|"AWAITING DRILLING"||||||
"299-W22-13"|"A7838"|"GROUNDWATER WELL"|"DECOMMISSIONED-V"|345.000|218.950|207.776|134172.135|567142.834|"200-UP-1"
"299-W22-14"|"A7839"|"PIEZOMETER HOST"|"DECOMMISSIONED-V"|342.000|248.600|207.799|134166.146|567186.931|"200-UP-1"
"299-W22-14O"|"A9565"|"HOSTED PIEZOMETER"|"DECOMMISSIONED-V"|342.000|||134166.146|567186.931|"200-UP-1"
