wellID,scnLen,scnLenL1,scnLenL2,scnLenL3,scnLenL4,scnLenL5,scnLenL6,scnLenL7,scnLenL8,scnLenL9,fracL1,fracL2,fracL3,fracLenL4,fracL5,fracL6,fracLenL7,fracL8,fracL9
199-H1-35_E_HX,4.572000,[1.0085990844729906],[1.220001220702997],[1.2099990844720026],[1.1334006103519982],[],[],[],[],[],[0.22060347],[0.26684191],[0.26465422],[0.2479004],[],[],[],[],[],
199-H1-36_E_HX,4.572000,[1.7255987792970018],[1.0699996948239914],[1.0699996948240056],[0.706401831055004],[],[],[],[],[],[0.37742755],[0.23403318],[0.23403318],[0.15450609],[],[],[],[],[],
199-H1-37_E_HX,4.581144,[1.3876486103520023],[1.1200027465820028],[1.1199951171869884],[0.9534975258790013],[],[],[],[],[],[0.30290439],[0.24448102],[0.24447935],[0.20813524],[],[],[],[],[],
199-H1-38_E_HX,4.575048,[1.3867073569340107],[1.1099929809569886],[1.1000061035149997],[0.9783415585940105],[],[],[],[],[],[0.30310225],[0.24261887],[0.24043597],[0.21384291],[],[],[],[],[],
199-H1-39_E_HX,4.572000,[1.6865972534180003],[0.9700012207029971],[0.9700012207030113],[0.945400305175994],[],[],[],[],[],[0.36889704],[0.21216125],[0.21216125],[0.20678047],[],[],[],[],[],
199-H1-4_E_HX,3.048000,[0.8351452207029979],[0.7099990844729973],[0.7099990844720026],[0.7099990844729973],[0.08285752587900674],[],[],[],[],[0.27399778],[0.23293933],[0.23293933],[0.23293933],[0.02718423],[],[],[],[],
199-H1-40_E_HX,4.572000,[2.0405984741209977],[0.9100036621090055],[0.9000015258790057],[0.7213963378909938],[],[],[],[],[],[0.44632513],[0.19903842],[0.19685073],[0.15778573],[],[],[],[],[],
199-H1-42_E_HX,3.051048,[],[1.1539766103520037],[1.360000610350994],[0.5370707792969966],[],[],[],[],[],[],[0.37822303],[0.44574868],[0.1760283],[],[],[],[],[],
199-H1-43_E_HX,3.048000,[],[1.0044036621089987],[1.5],[0.5435963378909889],[],[],[],[],[],[],[0.32952876],[0.49212598],[0.17834526],[],[],[],[],[],
199-H1-45_E_HX,4.578096,[0.2604710844729965],[1.5500030517570025],[1.549995422364006],[1.2176264414059972],[],[],[],[],[],[0.05689507],[0.33856936],[0.3385677],[0.26596787],[],[],[],[],[],
199-H1-46_E_HX,7.635240,[2.8622227792969994],[1.0200042724609943],[1.0199966430660083],[1.0100021362309946],[1.0699996948240056],[0.6530144741209938],[],[],[],[0.37487005],[0.13359165],[0.13359065],[0.13228165],[0.14013963],[0.08552638],[],[],[],
199-H1-47_E_HX,6.096000,[2.585161525879002],[1.1299972534179972],[1.1300048828120026],[1.1199951171879974],[0.1308412207029903],[],[],[],[],[0.42407505],[0.185367],[0.18536826],[0.18372623],[0.02146345],[],[],[],[],
199-H1-48_E_HX,6.096000,[2.7913307465820054],[1.07999420166],[1.0699996948239914],[1.0800018310550001],[0.07467352587900677],[],[],[],[],[0.45789546],[0.1771644],[0.17552488],[0.17716565],[0.01224959],[],[],[],[],
199-H1-49_E_HX,7.620000,[3.115381863769997],[1.4100036621090055],[1.409996032715],[1.42000579834],[0.26461264306598764],[],[],[],[],[0.40884276],[0.18503985],[0.18503885],[0.18635247],[0.03472607],[],[],[],[],
199-H1-5_E_DX,7.626096,[2.1718178310549945],[1.9300003051749997],[1.9300003051759944],[1.5942775585940012],[],[],[],[],[],[0.28478763],[0.25307842],[0.25307842],[0.20905553],[],[],[],[],[],
199-H1-5_I_DX,7.626096,[2.1718178310549945],[1.9300003051749997],[1.9300003051759944],[1.5942775585940012],[],[],[],[],[],[0.28478763],[0.25307842],[0.25307842],[0.20905553],[],[],[],[],[],
199-H1-6_E_HX,3.048000,[0.16287261035199663],[1.029998779295994],[1.0400009155279974],[0.8151276948239996],[],[],[],[],[],[0.0534359],[0.33792611],[0.34120765],[0.26743035],[],[],[],[],[],
199-H1-6_I_HX,3.048000,[0.16287261035199663],[1.029998779295994],[1.0400009155279974],[0.8151276948239996],[],[],[],[],[],[0.0534359],[0.33792611],[0.34120765],[0.26743035],[],[],[],[],[],
199-H3-21_E_HX,4.572000,[0.7236412207030014],[1.6500015258790057],[1.6499938964839913],[0.5483633569340043],[],[],[],[],[],[0.15827673],[0.36089272],[0.36089105],[0.11993949],[],[],[],[],[],
199-H3-22_E_HX,9.144000,[],[],[],[],[],[],[],[],[9.104001220702997],[],[],[],[],[],[],[],[],[0.99562568],
199-H3-25_E_HX,6.099000,[],[1.779998779297003],[1.7700042724599996],[1.069797863770006],[],[],[],[],[],[],[0.29185092],[0.29021221],[0.17540545],[],[],[],[],[],
199-H3-25_I_HX,6.099000,[1.4791990844729952],[1.779998779297003],[1.7700042724599996],[1.069797863770006],[],[],[],[],[],[0.24253141],[0.29185092],[0.29021221],[0.17540545],[],[],[],[],[],
199-H3-26_E_HX,4.578100,[0.3372024414059922],[1.6299972534180114],[1.6200027465819886],[0.9908975585939999],[],[],[],[],[],[0.07365554],[0.3560423],[0.35385919],[0.21644297],[],[],[],[],[],
199-H3-26_I_HX,4.578100,[0.3372024414059922],[1.6299972534180114],[1.6200027465819886],[0.9908975585939999],[],[],[],[],[],[0.07365554],[0.3560423],[0.35385919],[0.21644297],[],[],[],[],[],
199-H3-27_I_HX,6.092952,[1.2502590517579932],[1.7299957275390057],[1.730003356932997],[1.382693863770001],[],[],[],[],[],[0.20519759],[0.28393392],[0.28393517],[0.22693333],[],[],[],[],[],
199-H3-28_E_HX,6.096000,[],[],[],[],[],[],[],[],[6.096000000000004],[],[],[],[],[],[],[],[],[1.],
199-H3-29_E_HX,9.753600,[],[],[],[],[],[1.2015987792970009],[2.6600036621089913],[2.6499938964850003],[3.242003662108999],[],[],[],[],[],[0.12319541],[0.27272019],[0.27169393],[0.33239047],
199-H3-2C_E_HX,3.048000,[],[],[],[],[],[],[],[0.05300048828100046],[2.9949995117190014],[],[],[],[],[],[],[],[0.01738861],[0.98261139],
199-H3-4_E_HX,7.620000,[4.190197253417992],[1.0300064086910083],[1.0399932861329972],[1.030006408692003],[0.32979664306598977],[],[],[],[],[0.54989465],[0.13517144],[0.13648206],[0.13517144],[0.0432804],[],[],[],[],
199-H3-9_E_HX,3.048000,[],[],[],[],[],[],[],[],[3.0479999999999876],[],[],[],[],[],[],[],[],[1.],
199-H4-12C_E_HX,3.048000,[],[],[],[],[],[],[],[2.21439969482401],[0.8336003051759917],[],[],[],[],[],[],[],[0.72650909],[0.27349091],
199-H4-14_I_HX,4.572000,[],[1.3683524378909908],[1.5100021362299998],[1.5],[0.19364542587901212],[],[],[],[],[],[0.29928968],[0.33027168],[0.32808399],[0.04235464],[],[],[],[],
199-H4-15A_E_HX,4.572000,[0.3450862569340103],[1.7599945068359943],[1.75],[0.7169192362299981],[],[],[],[],[],[0.07547818],[0.38495068],[0.38276465],[0.15680648],[],[],[],[],[],
199-H4-17_I_HX,3.048000,[0.7299765155269995],[1.1399993896489917],[1.1399993896480112],[0.03802470517599943],[],[],[],[],[],[0.23949361],[0.37401555],[0.37401555],[0.0124753],[],[],[],[],[],
199-H4-18_I_HX,3.048000,[0.30900152587901175],[0.9300003051759944],[0.9300003051749997],[0.878997863769996],[],[],[],[],[],[0.10137845],[0.30511821],[0.30511821],[0.28838513],[],[],[],[],[],
199-H4-4_E_HX,3.048000,[0.18728656210900851],[1.4899978637700002],[1.370715574120993],[],[],[],[],[],[],[0.06144572],[0.48884444],[0.44970983],[],[],[],[],[],[],
199-H4-63_E_HX,6.086856,[0.7326150844729966],[1.8600006103510083],[1.8499984741209943],[1.6442418310549982],[],[],[],[],[],[0.12036018],[0.30557658],[0.30393334],[0.2701299],[],[],[],[],[],
199-H4-64_E_HX,6.096000,[2.504360610352009],[1.8300018310539912],[1.7616375585940034],[],[],[],[],[],[],[0.41082031],[0.30019715],[0.28898254],[],[],[],[],[],[],
199-H4-69_E_HX,3.051048,[],[1.2304009155269995],[1.5999984741209943],[0.22064861035200067],[],[],[],[],[],[],[0.40327157],[0.52440947],[0.07231896],[],[],[],[],[],
199-H4-70_E_HX,3.048000,[],[0.8779978637700054],[1.200004577635994],[0.9699975585940024],[],[],[],[],[],[],[0.28805704],[0.39370229],[0.31824067],[],[],[],[],[],
199-H4-71_I_HX,4.581144,[0.04580586376999918],[1.6800003051749997],[1.6699981689459946],[1.1853396621090013],[],[],[],[],[],[0.00999878],[0.36672069],[0.36453737],[0.25874316],[],[],[],[],[],
199-H4-72_I_HX,4.578096,[0.06509661035200054],[1.610000610350994],[1.6199951171879974],[1.2830036621090102],[],[],[],[],[],[0.01421914],[0.35167472],[0.35385783],[0.28024831],[],[],[],[],[],
199-H4-73_I_HX,6.102096,[0.34940122070300106],[2.059997558594006],[2.0599975585939916],[1.6326996621090046],[],[],[],[],[],[0.05725921],[0.33758852],[0.33758852],[0.26756375],[],[],[],[],[],
199-H4-74_E_HX,4.572000,[1.4546006103520028],[1.0400009155270027],[1.0299987792969887],[1.0400009155270027],[0.007398779297005831],[],[],[],[],[0.31815411],[0.22747177],[0.22528407],[0.22747177],[0.00161828],[],[],[],[],
199-H4-74_I_HX,4.572000,[1.4546006103520028],[1.0400009155270027],[1.0299987792969887],[1.0400009155270027],[0.007398779297005831],[],[],[],[],[0.31815411],[0.22747177],[0.22528407],[0.22747177],[0.00161828],[],[],[],[],
199-H4-75_E_HX,4.572000,[1.4163993896479923],[0.8899993896490059],[0.889999389647997],[0.8899993896490059],[0.4856024414059874],[],[],[],[],[0.30979864],[0.19466303],[0.19466303],[0.19466303],[0.10621226],[],[],[],[],
199-H4-76_E_HX,3.048000,[1.4574018310549945],[0.549995422362997],[0.5500030517579972],[0.4905996948239988],[],[],[],[],[],[0.47815021],[0.18044469],[0.1804472],[0.16095791],[],[],[],[],[],
199-H4-77_E_HX,3.044952,[0.9714206430659971],[0.6800003051760086],[0.6900024414059942],[0.6800003051760086],[0.023528305176000686],[],[],[],[],[0.31902659],[0.22332053],[0.22660536],[0.22332053],[0.00772699],[],[],[],[],
199-H4-78_I_HX,6.096000,[0.40060244140599366],[1.939994812012003],[1.950004577637003],[1.805398168945004],[],[],[],[],[],[0.06571562],[0.31824062],[0.31988264],[0.29616112],[],[],[],[],[],
199-H4-79_I_HX,6.092952,[1.4473655585940008],[1.6000061035149997],[1.5899963378909945],[1.4555840000000018],[],[],[],[],[],[0.23754751],[0.26259949],[0.26095665],[0.23889635],[],[],[],[],[],
199-H4-80_E_DX,10.668000,[3.3732409155270062],[2.3099975585939916],[2.3000030517580115],[2.299995422362997],[0.3847630517580001],[],[],[],[],[0.31620181],[0.2165352],[0.21559834],[0.21559762],[0.03606703],[],[],[],[],
199-H4-81_E_DX,6.099048,[1.920244643065999],[1.450004577637003],[1.4400024414060084],[1.2887963378910001],[],[],[],[],[],[0.31484334],[0.23774277],[0.23610282],[0.21131107],[],[],[],[],[],
199-H4-82_E_DX,6.071616,[2.1672286430659966],[1.3500061035160087],[1.3499984741209943],[1.2043827792970063],[],[],[],[],[],[0.35694429],[0.22234708],[0.22234583],[0.1983628],[],[],[],[],[],
199-H4-82_I_DX,6.071616,[2.1672286430659966],[1.3500061035160087],[1.3499984741209943],[1.2043827792970063],[],[],[],[],[],[0.35694429],[0.22234708],[0.22234583],[0.1983628],[],[],[],[],[],
199-H4-86_E_HX,7.626096,[2.4808055585939996],[1.7799987792969887],[1.7800064086910083],[1.585285253417993],[],[],[],[],[],[0.32530479],[0.23340891],[0.23340991],[0.20787638],[],[],[],[],[],
