ID,X,Y,Row,Col,Ztop,Zbot,index,scLen,lenL1,lenL2,lenL3,lenL4,lenL5,lenL6,lenL7,lenL8,lenL9,fL1,fL2,fL3,fL4,fL5,fL6,fL7,fL8,fL9,MaxFrac_Lay,Deepest_Lay,Short,Function,System,Aquifer
199-H1-2_E_HX,576451.07,153378.26,146,471,117.33808,114.29008,64,3.048,0.4880815258790107,0.8699951171869884,0.8800048828130116,0.809918474120991,,,,,,0.16013173,0.28543147,0.28871551,0.26572128,,,,,,3,4.0,199-H1-2,E,HX,Unconfined
199-H1-20_I_HX,575706.04,154183.61,65,396,117.633184,111.531088,65,6.102096,1.2031836948240056,2.309997558593992,2.310005187987997,0.2789095585940089,,,,,,0.19717548,0.37855805,0.3785593,0.04570717,,,,,,3,4.0,199-H1-20,I,HX,Unconfined
199-H1-21_I_HX,575896.84,154163.8,67,415,116.17092,111.595872,66,4.575048,,1.290922746581998,1.9599990844729973,1.324126168945,,,,,,,0.28216595,0.42841061,0.28942345,,,,,,3,4.0,199-H1-21,I,HX,Unconfined
199-H1-25_E_HX,576279.64,154069.97,77,453,119.432512,113.33956,67,6.092952,2.0825135258790084,1.3699951171869884,1.3700027465820028,1.2704406103519972,,,,,,0.34179057,0.22484916,0.22485041,0.20850987,,,,,,1,4.0,199-H1-25,E,HX,Unconfined
199-H1-25_I_HX,576279.64,154069.97,77,453,119.432512,113.33956,68,6.092952,2.0825135258790084,1.3699951171869884,1.3700027465820028,1.2704406103519972,,,,,,0.34179057,0.22484916,0.22485041,0.20850987,,,,,,1,4.0,199-H1-25,I,HX,Unconfined
199-H1-27_E_HX,576403.86,154024.21,81,466,119.23684,113.14084,69,6.096,2.0768363378909958,1.5200042724610086,1.519996643065994,0.9791627465820056,,,,,,0.34068838,0.24934453,0.24934328,0.16062381,,,,,,1,4.0,199-H1-27,E,HX,Unconfined
199-H1-27_I_HX,576403.86,154024.21,81,466,119.23684,113.14084,70,6.096,2.0768363378909958,1.5200042724610086,1.519996643065994,0.9791627465820056,,,,,,0.34068838,0.24934453,0.24934328,0.16062381,,,,,,1,4.0,199-H1-27,I,HX,Unconfined
199-H1-3_E_HX,576163.04,153372.22,146,442,118.8084,115.7604,71,3.048,1.728398168945006,0.9000015258790057,0.4196003051759902,,,,,,,0.56705977,0.29527609,0.13766414,,,,,,,1,3.0,199-H1-3,E,HX,Unconfined
199-H1-32_E_HX,576767.07,153766.0,107,502,120.599,114.503,72,6.096,3.3590021362300035,0.9499969482429976,0.9400024414060084,0.8469984741209942,,,,,,0.55101741,0.15583939,0.15419988,0.13894332,,,,,,1,4.0,199-H1-32,E,HX,Unconfined
199-H1-33_E_HX,576833.29,153716.23,112,509,119.0766,114.5046,73,4.572,1.9265984741209932,0.9599990844730116,0.9599990844719885,0.7254033569340095,,,,,,0.42139074,0.20997355,0.20997355,0.15866215,,,,,,1,4.0,199-H1-33,E,HX,Unconfined
