index,ID,scLen,lenL1,lenL2,lenL3,lenL4,lenL5,lenL6,lenL7,lenL8,lenL9,fL1,fL2,fL3,fL4,fL5,fL6,fL7,fL8,fL9,MaxFrac_Lay,Deepest_Lay
78,199-H1-38_E_HX,4.575048,1.3867073569340107,1.1099929809569886,1.1000061035149995,0.9783415585940104,,,,,,0.30310225,0.24261887,0.24043597,0.21384291,,,,,,1,4.0
79,199-H1-39_E_HX,4.572,1.6865972534180005,0.9700012207029972,0.9700012207030112,0.945400305175994,,,,,,0.36889704,0.21216125,0.21216125,0.20678047,,,,,,1,4.0
80,199-H1-4_E_HX,3.048,0.8351452207029979,0.7099990844729973,0.7099990844720026,0.7099990844729973,0.0828575258790067,,,,,0.27399778,0.23293933,0.23293933,0.23293933,0.02718423,,,,,1,4.0
81,199-H1-40_E_HX,4.572,2.0405984741209977,0.9100036621090056,0.9000015258790057,0.7213963378909938,,,,,,0.44632513,0.19903842,0.19685073,0.15778573,,,,,,1,4.0
82,199-H1-42_E_HX,3.051048,,1.1539766103520035,1.360000610350994,0.5370707792969966,,,,,,,0.37822303,0.44574868,0.1760283,,,,,,3,4.0
83,199-H1-43_E_HX,3.048,,1.004403662108999,1.5,0.5435963378909889,,,,,,,0.32952876,0.49212598,0.17834526,,,,,,3,4.0
84,199-H1-45_E_HX,4.578096,0.2604710844729965,1.5500030517570025,1.549995422364006,1.2176264414059972,,,,,,0.05689507,0.33856936,0.3385677,0.26596787,,,,,,2,4.0
85,199-H1-46_E_HX,7.63524,2.8622227792969994,1.0200042724609943,1.0199966430660083,1.0100021362309946,1.0699996948240056,0.6530144741209938,,,,0.37487005,0.13359165,0.13359065,0.13228165,0.14013963,0.08552638,,,,1,4.0
86,199-H1-47_E_HX,6.096,2.585161525879002,1.1299972534179972,1.1300048828120026,1.1199951171879974,0.1308412207029903,,,,,0.42407505,0.185367,0.18536826,0.18372623,0.02146345,,,,,1,4.0
87,199-H1-48_E_HX,6.096,2.7913307465820054,1.07999420166,1.0699996948239914,1.080001831055,0.0746735258790067,,,,,0.45789546,0.1771644,0.17552488,0.17716565,0.01224959,,,,,1,4.0
88,199-H1-49_E_HX,7.62,3.115381863769997,1.4100036621090055,1.409996032715,1.42000579834,0.2646126430659876,,,,,0.40884276,0.18503985,0.18503885,0.18635247,0.03472607,,,,,1,4.0
89,199-H1-5_E_DX,7.626096,2.1718178310549945,1.930000305175,1.9300003051759944,1.5942775585940012,,,,,,0.28478763,0.25307842,0.25307842,0.20905553,,,,,,1,4.0
90,199-H1-5_I_DX,7.626096,2.1718178310549945,1.930000305175,1.9300003051759944,1.5942775585940012,,,,,,0.28478763,0.25307842,0.25307842,0.20905553,,,,,,1,4.0
91,199-H1-6_E_HX,3.048,0.1628726103519966,1.029998779295994,1.0400009155279974,0.8151276948239996,,,,,,0.0534359,0.33792611,0.34120765,0.26743035,,,,,,3,4.0
92,199-H1-6_I_HX,3.048,0.1628726103519966,1.029998779295994,1.0400009155279974,0.8151276948239996,,,,,,0.0534359,0.33792611,0.34120765,0.26743035,,,,,,3,4.0
93,199-H3-21_E_HX,4.572,0.7236412207030014,1.6500015258790055,1.6499938964839913,0.5483633569340043,,,,,,0.15827673,0.36089272,0.36089105,0.11993949,,,,,,2,4.0
94,199-H3-22_E_HX,9.144,,,,,,,,,9.104001220702996,,,,,,,,,0.99562568,9,9.0
95,199-H3-25_E_HX,6.099,,1.779998779297003,1.7700042724599996,1.069797863770006,,,,,,,0.29185092,0.29021221,0.17540545,,,,,,2,4.0
96,199-H3-25_I_HX,6.099,1.4791990844729952,1.779998779297003,1.7700042724599996,1.069797863770006,,,,,,0.24253141,0.29185092,0.29021221,0.17540545,,,,,,2,4.0
97,199-H3-26_E_HX,4.5781,0.3372024414059922,1.6299972534180114,1.6200027465819886,0.990897558594,,,,,,0.07365554,0.3560423,0.35385919,0.21644297,,,,,,2,4.0
98,199-H3-26_I_HX,4.5781,0.3372024414059922,1.6299972534180114,1.6200027465819886,0.990897558594,,,,,,0.07365554,0.3560423,0.35385919,0.21644297,,,,,,2,4.0
99,199-H3-27_I_HX,6.092952,1.2502590517579932,1.7299957275390057,1.730003356932997,1.382693863770001,,,,,,0.20519759,0.28393392,0.28393517,0.22693333,,,,,,3,4.0
100,199-H3-28_E_HX,6.096,,,,,,,,,6.096000000000004,,,,,,,,,1.0,9,9.0
101,199-H3-29_E_HX,9.7536,,,,,,1.2015987792970009,2.6600036621089918,2.6499938964850003,3.242003662108999,,,,,,0.12319541,0.27272019,0.27169393,0.33239047,9,9.0
102,199-H3-2C_E_HX,3.048,,,,,,,,0.0530004882810004,2.9949995117190014,,,,,,,,0.01738861,0.98261139,9,9.0
103,199-H3-4_E_HX,7.62,4.190197253417992,1.0300064086910083,1.0399932861329972,1.030006408692003,0.3297966430659897,,,,,0.54989465,0.13517144,0.13648206,0.13517144,0.0432804,,,,,1,4.0
104,199-H3-9_E_HX,3.048,,,,,,,,,3.047999999999988,,,,,,,,,1.0,9,9.0
105,199-H4-12C_E_HX,3.048,,,,,,,,2.21439969482401,0.8336003051759917,,,,,,,,0.72650909,0.27349091,8,9.0
106,199-H4-14_I_HX,4.572,,1.3683524378909908,1.5100021362299998,1.5,0.1936454258790121,,,,,,0.29928968,0.33027168,0.32808399,0.04235464,,,,,3,4.0
107,199-H4-15A_E_HX,4.572,0.3450862569340103,1.7599945068359943,1.75,0.7169192362299981,,,,,,0.07547818,0.38495068,0.38276465,0.15680648,,,,,,2,4.0
108,199-H4-17_I_HX,3.048,0.7299765155269995,1.1399993896489915,1.1399993896480112,0.0380247051759994,,,,,,0.23949361,0.37401555,0.37401555,0.0124753,,,,,,2,4.0
109,199-H4-18_I_HX,3.048,0.3090015258790117,0.9300003051759944,0.9300003051749997,0.878997863769996,,,,,,0.10137845,0.30511821,0.30511821,0.28838513,,,,,,2,4.0
110,199-H4-4_E_HX,3.048,0.1872865621090085,1.4899978637700002,1.370715574120993,,,,,,,0.06144572,0.48884444,0.44970983,,,,,,,2,3.0
111,199-H4-63_E_HX,6.086856,0.7326150844729966,1.8600006103510085,1.8499984741209945,1.6442418310549982,,,,,,0.12036018,0.30557658,0.30393334,0.2701299,,,,,,2,4.0
112,199-H4-64_E_HX,6.096,2.504360610352009,1.8300018310539912,1.7616375585940034,,,,,,,0.41082031,0.30019715,0.28898254,,,,,,,1,3.0
113,199-H4-69_E_HX,3.051048,,1.2304009155269997,1.5999984741209945,0.2206486103520006,,,,,,,0.40327157,0.52440947,0.07231896,,,,,,3,4.0
114,199-H4-70_E_HX,3.048,,0.8779978637700054,1.200004577635994,0.9699975585940024,,,,,,,0.28805704,0.39370229,0.31824067,,,,,,3,4.0
115,199-H4-71_I_HX,4.581144,0.0458058637699991,1.6800003051749997,1.6699981689459946,1.185339662109001,,,,,,0.00999878,0.36672069,0.36453737,0.25874316,,,,,,2,4.0
116,199-H4-72_I_HX,4.578096,0.0650966103520005,1.610000610350994,1.6199951171879974,1.2830036621090102,,,,,,0.01421914,0.35167472,0.35385783,0.28024831,,,,,,3,4.0
117,199-H4-73_I_HX,6.102096,0.349401220703001,2.059997558594006,2.059997558593992,1.6326996621090046,,,,,,0.05725921,0.33758852,0.33758852,0.26756375,,,,,,2,4.0
118,199-H4-74_E_HX,4.572,1.4546006103520028,1.0400009155270027,1.029998779296989,1.0400009155270027,0.0073987792970058,,,,,0.31815411,0.22747177,0.22528407,0.22747177,0.00161828,,,,,1,4.0
119,199-H4-74_I_HX,4.572,1.4546006103520028,1.0400009155270027,1.029998779296989,1.0400009155270027,0.0073987792970058,,,,,0.31815411,0.22747177,0.22528407,0.22747177,0.00161828,,,,,1,4.0
120,199-H4-75_E_HX,4.572,1.4163993896479925,0.8899993896490059,0.889999389647997,0.8899993896490059,0.4856024414059874,,,,,0.30979864,0.19466303,0.19466303,0.19466303,0.10621226,,,,,1,4.0
121,199-H4-76_E_HX,3.048,1.4574018310549943,0.549995422362997,0.5500030517579972,0.4905996948239988,,,,,,0.47815021,0.18044469,0.1804472,0.16095791,,,,,,1,4.0
122,199-H4-77_E_HX,3.044952,0.9714206430659972,0.6800003051760086,0.6900024414059942,0.6800003051760086,0.0235283051760006,,,,,0.31902659,0.22332053,0.22660536,0.22332053,0.00772699,,,,,1,4.0
123,199-H4-78_I_HX,6.096,0.4006024414059936,1.939994812012003,1.950004577637003,1.805398168945004,,,,,,0.06571562,0.31824062,0.31988264,0.29616112,,,,,,3,4.0
