Row,Column,NAME,Nr,I,J,centroid_x,centroid_y,geometry
222,636,107-H-RB_46,46,222,636,578105,152615,"POLYGON ((578110 152620, 578110 152610, 578100 152610, 578100 152620, 578110 152620))"
222,637,107-H-RB_47,47,222,637,578115,152615,"POLYGON ((578120 152620, 578120 152610, 578110 152610, 578110 152620, 578120 152620))"
223,634,107-H-RB_48,48,223,634,578085,152605,"POLYGON ((578090 152610, 578090 152600, 578080 152600, 578080 152610, 578090 152610))"
223,635,107-H-RB_49,49,223,635,578095,152605,"POLYGON ((578100 152610, 578100 152600, 578090 152600, 578090 152610, 578100 152610))"
223,636,107-H-RB_50,50,223,636,578105,152605,"POLYGON ((578110 152610, 578110 152600, 578100 152600, 578100 152610, 578110 152610))"
223,637,107-H-RB_51,51,223,637,578115,152605,"POLYGON ((578120 152610, 578120 152600, 578110 152600, 578110 152610, 578120 152610))"
224,634,107-H-RB_52,52,224,634,578085,152595,"POLYGON ((578090 152600, 578090 152590, 578080 152590, 578080 152600, 578090 152600))"
224,635,107-H-RB_53,53,224,635,578095,152595,"POLYGON ((578100 152600, 578100 152590, 578090 152590, 578090 152600, 578100 152600))"
224,636,107-H-RB_54,54,224,636,578105,152595,"POLYGON ((578110 152600, 578110 152590, 578100 152590, 578100 152600, 578110 152600))"
224,637,107-H-RB_55,55,224,637,578115,152595,"POLYGON ((578120 152600, 578120 152590, 578110 152590, 578110 152600, 578120 152600))"
