NAME,WELL_ID,TYPE,STATUS,TD,BOH,ZCOORDS,YCOORDS,XCOORDS,OU
C6965,C6965,BORING,DECOMMISSIONED-V,20,,175.91,136715.34,576846.43,200-BP-5
C6966,C6966,BORING,DECOMMISSIONED-V,20,,176.49,136794.99,576755.99,200-BP-5
C6967,C6967,BORING,DECOMMISSIONED-V,20,,176.06,136784.02,576877.77,200-BP-5
C6968,C6968,BORING,DECOMMISSIONED-V,8.5,,201.6,134636.2,566188.6,200-UP-1
C6969,C6969,BORING,DECOMMISSIONED-V,3,,204.66,137288,566494.57,200-Z-1
C6970,C6970,BORING,DECOMMISSIONED-V,5,,205.22,137233.06,566500.13,200-Z-1
C6971,C6971,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C6972,C6972,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C6973,C6973,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C6974,C6974,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C6975,C6975,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C6976,C6976,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C6977,C6977,VADOSE WELL,IN-USE,25,,207.65,136509.11,574411.38,200-BP-5
C6978,C6978,VADOSE WELL,IN-USE,25,,207.58,136509.73,574416.66,200-BP-5
C6979,C6979,VADOSE WELL,IN-USE,25,,207.62,136506.28,574420.39,200-BP-5
C6980,C6980,VADOSE WELL,IN-USE,25,,207.64,136503.3,574423.11,200-BP-5
C6981,C6981,VADOSE WELL,IN-USE,25,,207.62,136499.12,574422.6,200-BP-5
C6982,C6982,VADOSE WELL,IN-USE,25,,207.74,136494.19,574422.68,200-BP-5
C6983,C6983,VADOSE WELL,IN-USE,25,,207.78,136491.58,574420.2,200-BP-5
C6984,C6984,VADOSE WELL,IN-USE,25,,207.82,136488.89,574417.66,200-BP-5
C6985,C6985,VADOSE WELL,IN-USE,25,,207.74,136488.47,574412.79,200-BP-5
C6986,C6986,VADOSE WELL,IN-USE,25,,207.8,136488.16,574408.01,200-BP-5
C6987,C6987,VADOSE WELL,IN-USE,25,,207.69,136490.57,574404.71,200-BP-5
C6988,C6988,VADOSE WELL,IN-USE,25,,207.7,136492.64,574402.19,200-BP-5
C6989,C6989,VADOSE WELL,IN-USE,25,,207.66,136497.63,574401.95,200-BP-5
C6990,C6990,VADOSE WELL,IN-USE,25,,207.66,136503,574401.81,200-BP-5
C6991,C6991,VADOSE WELL,IN-USE,25,,207.66,136505.49,574404.17,200-BP-5
C6992,C6992,VADOSE WELL,IN-USE,25,,207.69,136508.54,574406.54,200-BP-5
C6993,C6993,VADOSE WELL,IN-USE,25,,206.8,136504.93,574409.21,200-BP-5
C6994,C6994,VADOSE WELL,IN-USE,25,,206.8,136505.16,574414.42,200-BP-5
C6995,C6995,VADOSE WELL,IN-USE,25,,206.82,136501.65,574418.22,200-BP-5
C6996,C6996,VADOSE WELL,IN-USE,25,,206.82,136496.39,574418.56,200-BP-5
C6997,C6997,VADOSE WELL,IN-USE,25,,206.84,136492.65,574414.99,200-BP-5
C6998,C6998,VADOSE WELL,IN-USE,25,,206.76,136492.36,574409.77,200-BP-5
C6999,C6999,VADOSE WELL,IN-USE,25,,206.76,136495.9,574405.99,200-BP-5
C7000,C7000,VADOSE WELL,IN-USE,25,,206.75,136501.1,574405.75,200-BP-5
C7001,C7001,VADOSE WELL,IN-USE,25,,206.79,136500.99,574409.54,200-BP-5
C7002,C7002,VADOSE WELL,IN-USE,25,,206.77,136501.25,574414.44,200-BP-5
C7003,C7003,VADOSE WELL,IN-USE,25,,206.82,136498.83,574412.18,200-BP-5
C7004,C7004,VADOSE WELL,IN-USE,25,,206.78,136496.42,574414.56,200-BP-5
C7005,C7005,VADOSE WELL,IN-USE,25,,206.75,136496.22,574409.93,200-BP-5
C7006,C7006,VADOSE WELL,IN-USE,25,,206.78,136498.58,574408.55,200-BP-5
C7009,C7009,VADOSE WELL,IN-USE,25,,,136494.97,574404.24,200-BP-5
C7010,C7010,VADOSE WELL,IN-USE,25,,207.75,136494.14,574402.79,200-BP-5
C7011,C7011,VADOSE WELL,IN-USE,25,,207.78,136492.9,574402.84,200-BP-5
C7012,C7012,VADOSE WELL,IN-USE,25,,207.74,136492.46,574403.63,200-BP-5
C7013,C7013,VADOSE WELL,IN-USE,25,,207.68,136493.56,574405.06,200-BP-5
C7014,C7014,VADOSE WELL,IN-USE,25,,208.71,136488.67,574411.08,200-BP-5
