NAME,XCOORDS,YCOORDS,ZCOORDS
199-D4-33,572792.62,151585.93,144.43
199-D4-34,572804.6,151590.02,144.27
199-D4-35,572806.3,151602.27,144.24
199-D4-36,572818.19,151606.21,144.25
199-D4-37,572820.29,151618.58,144.24
199-D4-38,572671.31,151537.85,143.55
199-D4-39,572747.45,151650.84,143.89
199-D4-4,572754.61,151571.6,144.32
199-D4-40,572832.34,151622.63,144.32
199-D4-41,572834.1,151634.65,144.21
199-D4-42,572847.12,151642.44,144.27
199-D4-43,572849.64,151656.21,144.19
199-D4-44,572856.11,151665.63,144.12
199-D4-45,572868,151671.8,144.05
199-D4-46,572868.85,151684.93,143.98
199-D4-47,572880.48,151690.13,143.86
199-D4-48,572881.3,151703.45,143.85
199-D4-49,572699.11,151458.69,143.94
199-D4-5,572740.54,151556.5,144.15
199-D4-50,572687.3,151454,143.86
199-D4-51,572686.61,151441.4,143.89
199-D4-52,572674.91,151436.73,143.88
199-D4-53,572674.09,151424.62,143.88
199-D4-54,572662.42,151419.72,143.81
199-D4-55,572659.02,151414.63,143.94
199-D4-56,572657.65,151402.28,143.77
199-D4-57,572645.94,151397.86,143.83
199-D4-58,572644.81,151385.35,144.02
199-D4-59,572633.32,151380.82,143.83
199-D4-6,572733.34,151577.91,144.02
199-D4-60,572632.36,151368.25,143.79
199-D4-61,572620.65,151363.7,143.77
199-D4-62,572619.52,151351.06,143.91
199-D4-63,572607.63,151346.84,143.95
199-D4-64,572606.94,151333.91,143.97
199-D4-65,572594.76,151329.73,143.96
199-D4-66,572594.28,151316.86,144
199-D4-67,572581.85,151312.77,143.95
199-D4-68,572581.32,151299.83,143.82
199-D4-69,572568.99,151295.69,143.81
199-D4-7,572760.86,151551.25,144.24
199-D4-70,572568.78,151282.67,143.87
199-D4-71,572556.28,151278.5,143.84
199-D4-72,572554.43,151265.77,143.76
199-D4-73,572542.16,151262.72,143.87
199-D4-74,572539.8,151249.79,143.63
199-D4-75,572527.75,151246.94,143.79
199-D4-76,572526.06,151234.23,143.74
199-D4-77,572513.33,151231,143.64
199-D4-78,572511.28,151218.26,143.69
199-D4-79,572498.23,151214.02,144.33
199-D4-8,572763.29,151552.64,144.18
199-D4-80,572496.86,151202.59,144.1
199-D4-81,572484.36,151199.64,144.04
199-D4-82,572470.26,151183.89,143.91
199-D4-83,572859.43,151723.41,143.62
199-D4-84,572568.04,151433.52,144.31
199-D4-85,572486.16,151324.2,144.04
199-D4-86,572389.06,151202.14,143.28
199-D4-87,572757.04,151550.03,144.07
199-D4-88,572758.67,151553.21,144.13
199-D4-89,572759.62,151547.11,144.22
199-D4-9,572758.2,151543.31,144.46
199-D4-90,572823.2,151616.13,143.86
199-D4-91,572817.65,151621.08,143.86
199-D4-92,572714.05,151486.31,144
199-D4-93,572710.39,151491.2,143.79
199-D4-94,572712.89,151496.05,144.1
199-D4-95,572612.82,151226.7,144.13
199-D4-96,572777.03,151519.78,144.89
199-D4-97,572906.23,151625.33,144.6
199-D4-98,572574.52,151481.65,143.85
199-D4-99,572527.36,151377.08,143.93
199-D5-1,573356.14,151265.21,143.26
199-D5-10,NA,NA,NA
199-D5-100,573180.85,151224.96,143.47
199-D5-101,572943.04,151521.52,144.54
199-D5-102,573428.15,151340.23,144.49
199-D5-103,573505.87,151460.87,144.32
199-D5-104,573265.48,151422.43,144.8
199-D5-105,NA,NA,NA
199-D5-106,573503.74,151597.97,144.37
199-D5-107,572932.37,151283.14,144.79
199-D5-108,572923.34,151222.9,145.15
199-D5-109,572917.37,151285.57,144.79
199-D5-11,NA,NA,NA
199-D5-110,572931.57,151277.61,144.86
199-D5-111,572943.24,151281.47,144.88
199-D5-112,572929.08,151289.87,144.75
199-D5-113,572927.02,151288.45,144.75
199-D5-114,572918.04,151223.75,145.14
199-D5-115,572923.15,151221.12,145.17
