NAME,OU,VAL,UNITS,EVENT,TYPE
199-D5-151,DX,-0.14023297486399847,gpm,8,Extraction
199-D5-151,DX,-1.9912037039502644,gpm,9,Extraction
199-D5-151,DX,-1.118458781311398,gpm,10,Extraction
199-D5-153,DX,-23.454771511912806,gpm,1,Extraction
199-D5-153,DX,-24.715873010143415,gpm,2,Extraction
199-D5-153,DX,-20.49950716067783,gpm,3,Extraction
199-D5-153,DX,-20.180023149247837,gpm,4,Extraction
199-D5-153,DX,-26.26922043660607,gpm,5,Extraction
199-D5-153,DX,-27.201527784815617,gpm,6,Extraction
199-D5-153,DX,-25.971034948337106,gpm,7,Extraction
199-D5-153,DX,-27.480174722841255,gpm,8,Extraction
199-D5-153,DX,-27.983611108767025,gpm,9,Extraction
199-D5-153,DX,-26.864583339930302,gpm,10,Extraction
199-D5-154,DX,-22.504368286390314,gpm,1,Extraction
199-D5-154,DX,-19.36257439718127,gpm,2,Extraction
199-D5-154,DX,-19.492137103283007,gpm,3,Extraction
199-D5-154,DX,-16.96555555595299,gpm,4,Extraction
199-D5-154,DX,-17.66577060883137,gpm,5,Extraction
199-D5-154,DX,-17.043078703094494,gpm,6,Extraction
199-D5-154,DX,-15.496527777785117,gpm,7,Extraction
199-D5-154,DX,-14.955712365476403,gpm,8,Extraction
199-D5-154,DX,-12.810787037819866,gpm,9,Extraction
199-D5-154,DX,-10.698006271896903,gpm,10,Extraction
199-D5-159,DX,-23.040860209357874,gpm,1,Extraction
199-D5-159,DX,-28.98080357093912,gpm,2,Extraction
199-D5-159,DX,-26.04368279474876,gpm,3,Extraction
199-D5-159,DX,-20.816828703715885,gpm,4,Extraction
199-D5-159,DX,-25.274686370818355,gpm,5,Extraction
199-D5-159,DX,-28.021689822348563,gpm,6,Extraction
199-D5-159,DX,-22.71747311089014,gpm,7,Extraction
199-D5-159,DX,-26.079077061646302,gpm,8,Extraction
199-D5-159,DX,-18.115694443619933,gpm,9,Extraction
199-D5-159,DX,-17.35064964100379,gpm,10,Extraction
199-D5-160,DX,0.0,gpm,1,Extraction
199-D5-160,DX,0.0,gpm,2,Extraction
199-D5-160,DX,-19.51048387066456,gpm,3,Extraction
199-D5-160,DX,-7.1341666667787935,gpm,4,Extraction
199-D5-160,DX,-0.13960573483278407,gpm,5,Extraction
199-D5-160,DX,-0.07275462970844096,gpm,6,Extraction
199-D5-160,DX,-0.16032706095505023,gpm,7,Extraction
199-D5-160,DX,-0.07641129026799456,gpm,8,Extraction
199-D5-160,DX,-1.561296296374374,gpm,9,Extraction
199-D5-160,DX,-0.9428539426240663,gpm,10,Extraction
199-D5-20,DX,0.0,gpm,1,Extraction
199-D5-20,DX,0.0,gpm,2,Extraction
199-D5-20,DX,0.0,gpm,3,Extraction
199-D5-20,DX,0.0,gpm,4,Extraction
199-D5-20,DX,0.0,gpm,5,Extraction
199-D5-20,DX,0.0,gpm,6,Extraction
199-D5-20,DX,0.0,gpm,7,Extraction
199-D5-20,DX,0.0,gpm,8,Extraction
199-D5-20,DX,0.0,gpm,9,Extraction
199-D5-20,DX,0.0,gpm,10,Extraction
199-D5-20,DX,22.075828860032242,gpm,1,Injection
199-D5-20,DX,22.697668645792728,gpm,2,Injection
199-D5-20,DX,26.56158153651481,gpm,3,Injection
199-D5-20,DX,30.087962970036905,gpm,4,Injection
199-D5-20,DX,41.75094086452674,gpm,5,Injection
199-D5-20,DX,40.22418982166348,gpm,6,Injection
199-D5-20,DX,34.53089157733992,gpm,7,Injection
199-D5-20,DX,33.78913530962428,gpm,8,Injection
199-D5-20,DX,28.993425931744174,gpm,9,Injection
199-D5-20,DX,26.46904122269081,gpm,10,Injection
199-D5-32,DX,-17.461447133027566,gpm,1,Extraction
199-D5-32,DX,-9.202976190881255,gpm,2,Extraction
199-D5-32,DX,-7.593324373320016,gpm,3,Extraction
199-D5-32,DX,-12.363379628951883,gpm,4,Extraction
199-D5-32,DX,-13.61135752742602,gpm,5,Extraction
199-D5-32,DX,-19.124189811583847,gpm,6,Extraction
199-D5-32,DX,-18.429413076121907,gpm,7,Extraction
199-D5-32,DX,-18.72168459602151,gpm,8,Extraction
199-D5-32,DX,-18.918749994219038,gpm,9,Extraction
199-D5-32,DX,-18.26314964207222,gpm,10,Extraction
199-D5-34,DX,-26.066689061811314,gpm,1,Extraction
199-D5-34,DX,-13.1755704362434,gpm,2,Extraction
199-D5-34,DX,-9.620138888200575,gpm,3,Extraction
199-D5-34,DX,-3.4895370363372744,gpm,4,Extraction
199-D5-34,DX,-0.04280913978953848,gpm,5,Extraction
199-D5-34,DX,-0.05680555556817712,gpm,6,Extraction
199-D5-34,DX,-0.19081541215021014,gpm,7,Extraction
199-D5-34,DX,-0.06348566306553594,gpm,8,Extraction
199-D5-34,DX,-0.02849537045534572,gpm,9,Extraction
199-D5-34,DX,-0.08655913971762498,gpm,10,Extraction
199-D5-39,DX,-11.017853941840356,gpm,1,Extraction
199-D5-39,DX,-10.969419643446761,gpm,2,Extraction
199-D5-39,DX,-10.217853942788441,gpm,3,Extraction
199-D5-39,DX,-3.6729861117065257,gpm,4,Extraction
199-D5-39,DX,-0.0015456989300809037,gpm,5,Extraction
199-D5-39,DX,-0.07199074081265425,gpm,6,Extraction
199-D5-39,DX,-0.11263440853733844,gpm,7,Extraction
199-D5-39,DX,-0.023230286797482243,gpm,8,Extraction
199-D5-39,DX,-0.0184259259866855,gpm,9,Extraction
199-D5-39,DX,-0.04301075259774756,gpm,10,Extraction
199-D5-42,DX,0.0,gpm,1,Injection
199-D5-42,DX,0.0,gpm,2,Injection
199-D5-42,DX,0.0,gpm,3,Injection
199-D5-42,DX,0.0,gpm,4,Injection
199-D5-42,DX,0.0,gpm,5,Injection
199-D5-42,DX,0.0,gpm,6,Injection
199-D5-42,DX,0.0,gpm,7,Injection
199-D5-42,DX,0.0,gpm,8,Injection
