Head,Time,Layer,Row,Column,NAME
115.53271364172097,3042.0,1,199,570,199-H3-26
115.6721316660447,3073.0,1,199,570,199-H3-26
116.254032918315,3103.0,1,199,570,199-H3-26
116.38271749964066,3134.0,1,199,570,199-H3-26
116.21756805226634,3165.0,1,199,570,199-H3-26
115.92784426317715,3195.0,1,199,570,199-H3-26
115.7048175637398,3226.0,1,199,570,199-H3-26
115.61571277062198,3256.0,1,199,570,199-H3-26
115.5676777664624,3287.0,1,199,570,199-H3-26
115.66695045029319,3318.0,1,199,570,199-H3-26
115.72219726663981,3346.0,1,199,570,199-H3-26
115.69147970790084,3377.0,1,199,570,199-H3-26
115.63374033497622,3407.0,1,199,570,199-H3-26
116.00599184605538,3438.0,1,199,570,199-H3-26
115.99599697302193,3468.0,1,199,570,199-H3-26
115.94623968334622,3499.0,1,199,570,199-H3-26
116.07319491036928,31.0,1,202,582,199-H3-27
115.96318814156413,59.0,1,202,582,199-H3-27
116.04678275454948,90.0,1,202,582,199-H3-27
116.29388576414452,120.0,1,202,582,199-H3-27
116.71681105407282,151.0,1,202,582,199-H3-27
116.9556635344185,181.0,1,202,582,199-H3-27
116.97473112712582,212.0,1,202,582,199-H3-27
116.76471151713943,243.0,1,202,582,199-H3-27
116.35849557316487,273.0,1,202,582,199-H3-27
116.13165050773738,304.0,1,202,582,199-H3-27
116.08192544645259,334.0,1,202,582,199-H3-27
116.12148430404748,365.0,1,202,582,199-H3-27
116.08513339768012,396.0,1,202,582,199-H3-27
116.2050181022746,424.0,1,202,582,199-H3-27
116.1606885700566,455.0,1,202,582,199-H3-27
116.03041817718432,485.0,1,202,582,199-H3-27
115.96633621272979,516.0,1,202,582,199-H3-27
115.98298676424146,546.0,1,202,582,199-H3-27
115.68470245192826,577.0,1,202,582,199-H3-27
115.41900104493843,608.0,1,202,582,199-H3-27
115.11353655296858,638.0,1,202,582,199-H3-27
114.99996623770113,669.0,1,202,582,199-H3-27
115.1180261483573,699.0,1,202,582,199-H3-27
115.1490354989804,730.0,1,202,582,199-H3-27
115.16282992198508,761.0,1,202,582,199-H3-27
115.12566228744033,790.0,1,202,582,199-H3-27
115.25462681142604,821.0,1,202,582,199-H3-27
115.53203890099087,851.0,1,202,582,199-H3-27
115.52114613162271,882.0,1,202,582,199-H3-27
115.51565273289512,912.0,1,202,582,199-H3-27
115.36859743907453,943.0,1,202,582,199-H3-27
115.32080170795945,974.0,1,202,582,199-H3-27
115.19714311675008,1004.0,1,202,582,199-H3-27
115.07840790345112,1035.0,1,202,582,199-H3-27
115.07956096694849,1065.0,1,202,582,199-H3-27
115.21564497874331,1096.0,1,202,582,199-H3-27
115.35618596941701,1127.0,1,202,582,199-H3-27
115.45236516515476,1155.0,1,202,582,199-H3-27
115.54863323157223,1186.0,1,202,582,199-H3-27
115.86943653901953,1216.0,1,202,582,199-H3-27
116.1716170728923,1247.0,1,202,582,199-H3-27
116.30897069456034,1277.0,1,202,582,199-H3-27
115.88919492796748,1308.0,1,202,582,199-H3-27
115.67936997449046,1339.0,1,202,582,199-H3-27
115.30603545804958,1369.0,1,202,582,199-H3-27
115.14757829154706,1400.0,1,202,582,199-H3-27
115.12536932410981,1430.0,1,202,582,199-H3-27
115.15444878091749,1461.0,1,202,582,199-H3-27
115.28000520019268,1492.0,1,202,582,199-H3-27
115.4913670213957,1520.0,1,202,582,199-H3-27
115.44395423475746,1551.0,1,202,582,199-H3-27
115.5116402909282,1581.0,1,202,582,199-H3-27
116.3021202511641,1612.0,1,202,582,199-H3-27
116.3223360516931,1642.0,1,202,582,199-H3-27
116.0157313807907,1673.0,1,202,582,199-H3-27
115.78149260640953,1704.0,1,202,582,199-H3-27
115.46940462333328,1734.0,1,202,582,199-H3-27
115.19988949715396,1765.0,1,202,582,199-H3-27
115.10919129054805,1795.0,1,202,582,199-H3-27
115.01389614309448,1826.0,1,202,582,199-H3-27
115.1427084119733,1857.0,1,202,582,199-H3-27
115.15380040952559,1885.0,1,202,582,199-H3-27
115.1289923973015,1916.0,1,202,582,199-H3-27
115.12169045077908,1946.0,1,202,582,199-H3-27
115.36779474962627,1977.0,1,202,582,199-H3-27
115.43692954999196,2007.0,1,202,582,199-H3-27
115.38673651180531,2038.0,1,202,582,199-H3-27
115.35194392497588,2069.0,1,202,582,199-H3-27
115.17982650811493,2099.0,1,202,582,199-H3-27
115.0465283413523,2130.0,1,202,582,199-H3-27
115.05703711929846,2160.0,1,202,582,199-H3-27
115.08208810673248,2191.0,1,202,582,199-H3-27
115.16785147507103,2222.0,1,202,582,199-H3-27
115.30458117001484,2251.0,1,202,582,199-H3-27
115.28747033683584,2282.0,1,202,582,199-H3-27
115.26292195058865,2312.0,1,202,582,199-H3-27
115.67895817597184,2343.0,1,202,582,199-H3-27
115.897424504485,2373.0,1,202,582,199-H3-27
115.98814378800473,2404.0,1,202,582,199-H3-27
115.88764688824375,2435.0,1,202,582,199-H3-27
115.52815358248597,2465.0,1,202,582,199-H3-27
115.3024093719648,2496.0,1,202,582,199-H3-27
115.30295203159488,2526.0,1,202,582,199-H3-27
115.29182263849849,2557.0,1,202,582,199-H3-27
115.4079441655855,2588.0,1,202,582,199-H3-27
115.4724530653851,2616.0,1,202,582,199-H3-27
115.29013012034397,2647.0,1,202,582,199-H3-27
115.24242811780192,2677.0,1,202,582,199-H3-27
115.48080470477491,2708.0,1,202,582,199-H3-27
115.68320464473163,2738.0,1,202,582,199-H3-27
115.64882000458417,2769.0,1,202,582,199-H3-27
115.69804512374328,2800.0,1,202,582,199-H3-27
115.38646045518071,2830.0,1,202,582,199-H3-27
115.427253409778,2861.0,1,202,582,199-H3-27
115.39539224591952,2891.0,1,202,582,199-H3-27
115.44397382471706,2922.0,1,202,582,199-H3-27
115.45385118819462,2953.0,1,202,582,199-H3-27
115.7217465478099,2981.0,1,202,582,199-H3-27
115.76557484432146,3012.0,1,202,582,199-H3-27
115.65463474557215,3042.0,1,202,582,199-H3-27
115.72793817119414,3073.0,1,202,582,199-H3-27
116.3570825611228,3103.0,1,202,582,199-H3-27
116.45435396190378,3134.0,1,202,582,199-H3-27
116.15827510006055,3165.0,1,202,582,199-H3-27
115.8507015238031,3195.0,1,202,582,199-H3-27
115.63923678196547,3226.0,1,202,582,199-H3-27
115.54936297858646,3256.0,1,202,582,199-H3-27
115.50688250850291,3287.0,1,202,582,199-H3-27
115.61415079326471,3318.0,1,202,582,199-H3-27
115.67164405675376,3346.0,1,202,582,199-H3-27
115.6424978922616,3377.0,1,202,582,199-H3-27
115.58542165771571,3407.0,1,202,582,199-H3-27
115.96482401421233,3438.0,1,202,582,199-H3-27
115.96107505250012,3468.0,1,202,582,199-H3-27
115.91004829625663,3499.0,1,202,582,199-H3-27
115.83077162279649,31.0,1,208,588,199-H3-2A
115.73274196126417,59.0,1,208,588,199-H3-2A
115.81841423671959,90.0,1,208,588,199-H3-2A
116.04639686216315,120.0,1,208,588,199-H3-2A
116.451740524454,151.0,1,208,588,199-H3-2A
116.67796684599202,181.0,1,208,588,199-H3-2A
116.71077115684282,212.0,1,208,588,199-H3-2A
116.52728550575632,243.0,1,208,588,199-H3-2A
116.17807535502816,273.0,1,208,588,199-H3-2A
115.94351582024755,304.0,1,208,588,199-H3-2A
115.86566154724018,334.0,1,208,588,199-H3-2A
115.90149015717537,365.0,1,208,588,199-H3-2A
115.89203751627083,396.0,1,208,588,199-H3-2A
115.9790190303618,424.0,1,208,588,199-H3-2A
115.96709496010077,455.0,1,208,588,199-H3-2A
115.86432710371233,485.0,1,208,588,199-H3-2A
115.82402858399685,516.0,1,208,588,199-H3-2A
115.8078407932597,546.0,1,208,588,199-H3-2A
115.54252356347156,577.0,1,208,588,199-H3-2A
115.22592133614037,608.0,1,208,588,199-H3-2A
115.01298626888482,638.0,1,208,588,199-H3-2A
114.89618506511133,669.0,1,208,588,199-H3-2A
114.93336530759561,699.0,1,208,588,199-H3-2A
114.95329818294327,730.0,1,208,588,199-H3-2A
114.98197389659988,761.0,1,208,588,199-H3-2A
114.99901013468667,790.0,1,208,588,199-H3-2A
115.09960608886281,821.0,1,208,588,199-H3-2A
115.33900606501325,851.0,1,208,588,199-H3-2A
115.39911994777225,882.0,1,208,588,199-H3-2A
115.41126064831313,912.0,1,208,588,199-H3-2A
115.29951373249865,943.0,1,208,588,199-H3-2A
115.22755630902856,974.0,1,208,588,199-H3-2A
115.10389357399598,1004.0,1,208,588,199-H3-2A
