SAMP_SITE_NAME,SAMP_DATE,STD_VALUE_RPTD
199-H4-64,2020-09-09,3.0
199-H4-65,2014-02-21,20.3
199-H4-65,2018-11-01,9.6
199-H4-65,2019-11-18,6.01
199-H4-65,2020-11-11,4.73
199-H4-84,2014-01-22,14.3
199-H4-84,2014-02-06,11.7
199-H4-84,2014-04-04,19.4
199-H4-84,2014-11-05,6.8
199-H4-84,2014-11-23,9.5
199-H4-84,2015-06-26,6.4
199-H4-84,2016-10-11,22.0
199-H4-84,2019-05-01,29.3
199-H4-84,2019-08-05,44.9
199-H4-84,2020-02-24,35.1
199-H4-84,2020-06-17,72.5
199-H4-84,2020-08-19,43.1
199-H4-84,2021-02-22,13.99
199-H4-84,2021-06-08,10.8
199-H4-85,2019-05-01,1.7
199-H4-85,2019-08-06,2.58
199-H4-85,2019-12-30,3.65
199-H4-85,2020-02-24,4.09
199-H4-85,2020-06-17,2.08
199-H4-85,2020-08-19,2.85
199-H4-85,2020-12-29,2.5
199-H4-85,2021-02-09,3.1
199-H4-85,2021-06-08,3.07
199-H4-85,2021-09-16,3.18
199-H4-86,2014-02-21,41.2
199-H4-86,2014-05-12,8.0
199-H4-86,2015-08-03,17.0
199-H4-86,2015-09-08,13.0
199-H4-86,2015-10-05,21.0
199-H4-86,2015-11-02,5.0
199-H4-86,2015-12-01,5.0
199-H4-86,2016-01-04,5.0
199-H4-86,2016-02-01,5.0
199-H4-86,2016-03-01,6.0
199-H4-86,2016-04-05,13.0
199-H4-86,2016-05-02,4.0
199-H4-86,2016-06-13,9.0
199-H4-86,2016-07-05,16.0
199-H4-86,2016-08-01,13.0
199-H4-86,2016-09-07,15.0
199-H4-86,2016-10-03,10.0
199-H4-86,2016-11-01,9.0
199-H4-86,2016-12-07,10.0
199-H4-86,2017-01-04,12.0
199-H4-86,2017-02-01,8.0
199-H4-86,2017-03-01,9.0
199-H4-86,2017-04-04,12.0
199-H4-86,2017-05-01,11.0
199-H4-86,2017-06-07,14.0
199-H4-86,2017-07-06,38.0
199-H4-86,2017-08-01,48.0
199-H4-86,2017-10-03,18.0
199-H4-86,2017-11-02,6.0
199-H4-86,2017-12-04,12.0
199-H4-86,2018-01-03,11.0
199-H4-86,2018-02-01,14.0
199-H4-86,2018-03-06,7.0
199-H4-86,2018-04-04,11.0
199-H4-86,2018-05-07,10.0
199-H4-86,2018-06-06,13.0
199-H4-86,2018-07-10,14.0
199-H4-86,2018-08-13,9.0
199-H4-86,2018-09-05,16.0
199-H4-86,2018-10-01,16.0
199-H4-86,2018-11-06,13.0
199-H4-86,2018-12-12,9.0
199-H4-86,2019-01-02,7.0
199-H4-86,2019-02-27,2.0
199-H4-86,2019-03-11,7.0
199-H4-86,2019-04-17,5.0
199-H4-86,2019-05-20,5.0
199-H4-86,2019-05-22,6.26
