SAMP_SITE_NAME,SAMP_DATE_TIME,STD_VALUE_RPTD,REVIEW_QUALIFIER,COLLECTION_PURPOSE_DESC,LAB_CODE,SAMP_DATE
199-H4-65,2019-11-18 13:17:00,6.01,,"Routine (i.e., repetitive)",GEL,2019-11-18
199-H4-65,2020-11-11 10:43:00,4.73,H,"Routine (i.e., repetitive)",GEL,2020-11-11
199-H4-84,2014-01-22 15:11:00,14.3,,"Routine (i.e., repetitive)",WSCF,2014-01-22
199-H4-84,2014-02-06 11:26:00,11.7,,"Routine (i.e., repetitive)",WSCF,2014-02-06
199-H4-84,2014-04-04 13:01:00,19.4,,"Routine (i.e., repetitive)",WSCF,2014-04-04
199-H4-84,2014-11-05 09:55:00,6.8,,"Routine (i.e., repetitive)",TARL,2014-11-05
199-H4-84,2014-11-23 09:32:00,9.5,,"Routine (i.e., repetitive)",TARL,2014-11-23
199-H4-84,2015-01-26 11:59:00,9.1,,"Routine (i.e., repetitive)",TARL,2015-01-26
199-H4-84,2015-01-26 11:59:00,9.4,,"Routine (i.e., repetitive)",TARL,2015-01-26
199-H4-84,2015-04-10 08:21:00,6.3,,"Routine (i.e., repetitive)",TARL,2015-04-10
199-H4-84,2015-04-10 08:21:00,6.4,,"Routine (i.e., repetitive)",TARL,2015-04-10
199-H4-84,2015-06-26 11:48:00,6.4,,"Routine (i.e., repetitive)",TARL,2015-06-26
199-H4-84,2015-11-19 13:28:00,12.0,,"Routine (i.e., repetitive)",TARL,2015-11-19
199-H4-84,2015-11-19 13:28:00,13.0,,"Routine (i.e., repetitive)",TARL,2015-11-19
199-H4-84,2016-02-03 12:59:00,11.0,,"Routine (i.e., repetitive)",TARL,2016-02-03
199-H4-84,2016-02-03 12:59:00,14.0,,"Routine (i.e., repetitive)",TARL,2016-02-03
199-H4-84,2016-05-10 09:30:00,30.0,,"Routine (i.e., repetitive)",TARL,2016-05-10
199-H4-84,2016-05-10 09:30:00,37.0,,"Routine (i.e., repetitive)",TARL,2016-05-10
199-H4-84,2016-08-05 08:38:00,83.0,,"Routine (i.e., repetitive)",TARL,2016-08-05
199-H4-84,2016-08-05 08:38:00,83.0,,"Routine (i.e., repetitive)",TARL,2016-08-05
199-H4-84,2016-10-11 12:01:00,22.0,,"Routine (i.e., repetitive)",TARL,2016-10-11
199-H4-84,2016-11-15 10:46:00,43.0,,"Routine (i.e., repetitive)",TARL,2016-11-15
199-H4-84,2016-11-15 10:46:00,41.0,,"Routine (i.e., repetitive)",TARL,2016-11-15
199-H4-84,2017-02-08 08:07:00,31.0,,"Routine (i.e., repetitive)",TARL,2017-02-08
199-H4-84,2017-02-08 08:07:00,32.0,,"Routine (i.e., repetitive)",TARL,2017-02-08
199-H4-84,2017-03-10 09:04:00,34.0,A,"Routine (i.e., repetitive)",TARL,2017-03-10
199-H4-84,2017-03-10 09:04:00,37.0,A,"Routine (i.e., repetitive)",TARL,2017-03-10
199-H4-84,2017-04-04 09:58:00,130.0,,"Routine (i.e., repetitive)",TARL,2017-04-04
199-H4-84,2017-04-04 09:58:00,130.0,,"Routine (i.e., repetitive)",TARL,2017-04-04
199-H4-84,2017-05-03 10:10:00,6.5,,"Routine (i.e., repetitive)",TARL,2017-05-03
199-H4-84,2017-05-03 10:10:00,7.2,,"Routine (i.e., repetitive)",TARL,2017-05-03
199-H4-84,2017-06-07 09:39:00,5.6,,"Routine (i.e., repetitive)",TARL,2017-06-07
199-H4-84,2017-06-07 09:39:00,6.0,,"Routine (i.e., repetitive)",TARL,2017-06-07
199-H4-84,2017-06-07 09:39:00,6.5,,"Routine (i.e., repetitive)",TARL,2017-06-07
199-H4-84,2017-06-07 09:39:00,6.5,,"Routine (i.e., repetitive)",TARL,2017-06-07
199-H4-84,2017-07-05 08:47:00,110.0,,"Routine (i.e., repetitive)",TARL,2017-07-05
199-H4-84,2017-07-05 08:47:00,110.0,,"Routine (i.e., repetitive)",TARL,2017-07-05
199-H4-84,2017-08-29 11:37:00,21.0,,"Routine (i.e., repetitive)",TARL,2017-08-29
199-H4-84,2017-08-29 11:37:00,21.0,,"Routine (i.e., repetitive)",TARL,2017-08-29
199-H4-84,2017-09-29 11:42:00,11.0,,"Routine (i.e., repetitive)",TARL,2017-09-29
199-H4-84,2017-09-29 11:42:00,12.0,,"Routine (i.e., repetitive)",TARL,2017-09-29
199-H4-84,2017-10-20 09:22:00,1.5,,"Routine (i.e., repetitive)",TARL,2017-10-20
199-H4-84,2017-10-20 09:22:00,2.7,,"Routine (i.e., repetitive)",TARL,2017-10-20
199-H4-84,2017-11-10 10:46:00,2.0,,"Routine (i.e., repetitive)",TARL,2017-11-10
199-H4-84,2017-11-10 10:46:00,1.5,,"Routine (i.e., repetitive)",TARL,2017-11-10
199-H4-84,2017-12-14 10:45:00,23.0,,"Routine (i.e., repetitive)",TARL,2017-12-14
199-H4-84,2017-12-14 10:45:00,28.0,,"Routine (i.e., repetitive)",TARL,2017-12-14
199-H4-84,2018-01-10 13:47:00,50.0,,"Routine (i.e., repetitive)",TARL,2018-01-10
199-H4-84,2018-01-10 13:47:00,52.0,,"Routine (i.e., repetitive)",TARL,2018-01-10
199-H4-84,2018-01-10 13:47:00,55.0,,"Routine (i.e., repetitive)",TARL,2018-01-10
