,NAME,SAMP_DATE_TIME,STD_VALUE_RPTD,tte
254,199-H4-15A,2018-01-01,1.0,1492
255,199-H4-15A,2018-02-01,6.25,1520
256,199-H4-15A,2018-03-01,4.0,1551
257,199-H4-15A,2018-04-01,3.0,1581
258,199-H4-15A,2018-05-01,1.25,1612
259,199-H4-15A,2018-06-01,3.0,1642
260,199-H4-15A,2018-07-01,5.0,1673
261,199-H4-15A,2018-08-01,2.45,1704
262,199-H4-15A,2018-09-01,1.0,1734
263,199-H4-15A,2018-10-01,2.425,1765
264,199-H4-15A,2018-11-01,4.0,1795
265,199-H4-15A,2018-12-01,7.0,1826
266,199-H4-15A,2019-01-01,2.3,1857
267,199-H4-15A,2019-02-01,-4.0,1885
268,199-H4-15A,2019-03-01,2.0,1916
269,199-H4-15A,2019-04-01,3.0,1946
270,199-H4-15A,2019-05-01,2.995,1977
271,199-H4-15A,2019-06-01,2.0,2007
272,199-H4-15A,2019-07-01,3.0,2038
273,199-H4-15A,2019-08-01,3.225,2069
274,199-H4-15A,2019-10-01,3.22,2130
275,199-H4-15A,2019-11-01,3.0,2160
276,199-H4-15A,2019-12-01,2.0,2191
277,199-H4-15A,2020-01-01,1.0,2222
278,199-H4-15A,2020-02-01,1.11,2251
279,199-H4-15A,2020-07-01,2.0,2404
280,199-H4-15A,2020-08-01,2.29,2435
281,199-H4-15A,2020-09-01,5.0,2465
282,199-H4-15A,2020-10-01,1.575,2496
283,199-H4-15A,2020-11-01,2.0,2526
284,199-H4-64,2014-01-01,13.0,31
285,199-H4-64,2014-02-01,3.0,59
286,199-H4-64,2014-03-01,7.8,90
287,199-H4-64,2014-04-01,4.0,120
288,199-H4-64,2014-05-01,1.0,151
289,199-H4-64,2014-06-01,4.5,181
290,199-H4-64,2014-07-01,4.0,212
291,199-H4-64,2014-08-01,7.0,243
292,199-H4-64,2014-09-01,8.0,273
293,199-H4-64,2014-10-01,7.0,304
294,199-H4-64,2014-11-01,7.0,334
295,199-H4-64,2014-12-01,8.15,365
296,199-H4-64,2015-01-01,3.0,396
297,199-H4-64,2015-02-01,7.0,424
298,199-H4-64,2015-03-01,3.9,455
299,199-H4-64,2015-04-01,4.0,485
300,199-H4-64,2015-05-01,0.0,516
301,199-H4-64,2015-06-01,4.925,546
302,199-H4-64,2015-07-01,4.0,577
303,199-H4-64,2015-08-01,4.0,608
304,199-H4-64,2015-09-01,7.075,638
305,199-H4-64,2015-10-01,9.0,669
306,199-H4-64,2015-11-01,1.0,699
307,199-H4-64,2015-12-01,2.425,730
308,199-H4-64,2016-01-01,3.0,761
309,199-H4-64,2016-02-01,1.0,790
310,199-H4-64,2016-03-01,1.75,821
311,199-H4-64,2016-04-01,10.0,851
312,199-H4-64,2016-05-01,0.0,882
313,199-H4-64,2016-06-01,1.425,912
314,199-H4-64,2016-07-01,6.0,943
315,199-H4-64,2016-08-01,2.0,974
316,199-H4-64,2016-09-01,4.0,1004
317,199-H4-64,2016-11-01,4.75,1065
318,199-H4-64,2016-12-01,2.0,1096
319,199-H4-64,2017-01-01,3.5,1127
320,199-H4-64,2017-02-01,0.0,1155
321,199-H4-64,2017-03-01,0.75,1186
322,199-H4-64,2017-04-01,5.0,1216
323,199-H4-64,2017-05-01,2.0,1247
324,199-H4-64,2017-06-01,0.75,1277
325,199-H4-64,2017-07-01,3.0,1308
326,199-H4-64,2017-08-01,3.0,1339
327,199-H4-64,2017-09-01,3.0,1369
328,199-H4-64,2017-12-01,1.3,1461
329,199-H4-64,2018-01-01,3.0,1492
330,199-H4-64,2018-02-01,3.75,1520
331,199-H4-64,2018-03-01,2.0,1551
332,199-H4-64,2018-04-01,3.0,1581
333,199-H4-64,2018-05-01,1.25,1612
334,199-H4-64,2018-06-01,2.0,1642
