"NAME"|"EVENT"|"VAL"|"TYPE"|"EASTING"|"NORTHING"
"699-100-43B"|3/5/2014 12:24:00|115.296|"MAN"|576675.900|154008.650
"699-99-42B"|3/5/2014 12:30:00|115.219|"MAN"|577010.230|153761.020
"699-99-41"|3/5/2014 12:35:00|115.127|"MAN"|577283.990|153590.740
"699-98-43"|3/5/2014 12:41:00|115.520|"MAN"|576863.240|153371.370
"699-97-43B"|3/5/2014 12:49:00|116.123|"MAN"|576859.840|152981.300
"699-97-43C"|3/5/2014 12:55:00|115.954|"MAN"|576857.310|152980.670
"699-96-43"|3/5/2014 13:01:00|116.840|"MAN"|576761.453|152605.307
"699-95-45"|3/5/2014 13:40:00|117.474|"MAN"|576257.000|152556.280
"699-97-41"|3/5/2014 13:49:00|115.511|"MAN"|577217.500|153090.380
"199-H3-10"|3/5/2014 13:54:00|114.981|"MAN"|577545.140|152723.520
"199-H3-2A"|3/5/2014 13:57:00|115.845|"MAN"|577624.630|152750.040
"199-H3-2B"|3/5/2014 13:59:00|115.574|"MAN"|577628.271|152757.164
"199-H1-7"|3/5/2014 14:06:00|115.250|"MAN"|577629.600|153172.100
"199-H4-8"|3/5/2014 14:10:00|115.047|"MAN"|577860.691|152921.704
"199-H4-6"|3/5/2014 14:14:00|115.572|"MAN"|577585.316|152888.391
"199-H4-16"|3/5/2014 14:22:00|115.465|"MAN"|577981.910|152591.573
"199-H4-47"|3/5/2014 14:25:00|115.505|"MAN"|577891.179|152553.297
"199-H4-46"|3/5/2014 14:29:00|115.569|"MAN"|577883.861|152439.868
"199-H4-49"|3/5/2014 14:35:00|115.605|"MAN"|577713.830|152445.154
"199-D5-147"|3/7/2014 7:20:00|117.422|"MAN"|572993.130|151380.780
"199-D5-41"|3/7/2014 7:26:00|117.694|"MAN"|573358.160|151792.191
"199-D5-106"|3/7/2014 7:33:00|118.691|"MAN"|573503.740|151597.970
"199-D5-17"|3/7/2014 7:39:00|118.807|"MAN"|573730.520|151322.830
"199-D5-133"|3/7/2014 7:40:00|119.059|"MAN"|573731.550|151497.370
"199-D5-43"|3/7/2014 7:47:00|117.924|"MAN"|573179.976|151269.430
