NAME,DATE,VAL,XCOORDS,YCOORDS
199-D5-41,2024-01-31,25.7,573358.16,151792.191
199-D5-43,2023-11-30,2.5,573179.976,151269.43
199-D5-43,2023-12-31,2.5,573179.976,151269.43
199-D5-43,2024-01-31,2.5,573179.976,151269.43
199-D5-44,2023-11-30,19.1,572993.581,151835.736
199-D5-44,2023-12-31,21.2,572993.581,151835.736
199-D5-44,2024-01-31,22.0,572993.581,151835.736
AT-D-1-M,2023-11-30,2.5,572861.512,151850.404
AT-D-1-M,2023-12-31,2.5,572861.512,151850.404
C6272,2023-11-30,2.5,572920.42,151926.86
C6272,2023-12-31,2.5,572920.42,151926.86
