SAMP_SITE_NAME,SAMP_DATE,STD_VALUE_RPTD
199-D5-145,2021-05-18,18.1
199-D5-146,2014-01-22,31.1
199-D5-146,2014-01-31,29.9
199-D5-146,2014-02-14,26.2
199-D5-146,2014-03-07,29.4
199-D5-146,2014-03-21,27.3
199-D5-146,2014-04-04,25.3
199-D5-146,2014-06-03,26.0
199-D5-146,2014-06-12,39.0
199-D5-146,2014-07-07,53.0
199-D5-146,2014-08-06,63.0
199-D5-146,2014-09-10,64.0
199-D5-146,2014-10-02,57.0
199-D5-146,2014-11-20,60.0
199-D5-146,2014-12-02,67.0
199-D5-146,2014-12-15,65.0
199-D5-146,2015-01-08,64.0
199-D5-146,2015-01-15,69.7
199-D5-146,2015-02-03,56.0
199-D5-146,2015-03-10,46.0
199-D5-146,2015-04-23,50.0
199-D5-146,2015-05-06,43.0
199-D5-146,2015-06-09,32.0
199-D5-146,2015-07-28,21.0
199-D5-146,2015-08-03,22.0
199-D5-146,2015-09-23,14.0
199-D5-146,2015-10-20,16.0
199-D5-146,2015-11-18,2.0
199-D5-146,2015-12-07,13.0
199-D5-146,2016-01-04,18.0
199-D5-146,2016-02-03,11.0
199-D5-146,2016-03-07,11.0
199-D5-146,2016-04-04,7.0
199-D5-146,2016-05-02,-7.0
199-D5-146,2016-06-14,8.0
199-D5-146,2016-07-05,7.0
199-D5-146,2016-08-02,2.0
199-D5-146,2016-09-21,9.0
199-D5-146,2016-10-05,5.0
199-D5-146,2016-11-02,14.0
199-D5-146,2016-12-14,7.0
199-D5-146,2017-01-16,14.0
199-D5-146,2017-02-07,9.0
199-D5-146,2017-03-20,2.0
199-D5-146,2017-04-12,10.0
199-D5-146,2017-05-01,9.0
199-D5-146,2017-06-08,19.0
199-D5-146,2017-07-05,19.0
199-D5-146,2017-08-07,16.0
199-D5-146,2017-09-20,20.0
199-D5-146,2017-10-12,19.0
199-D5-146,2017-11-13,24.0
199-D5-146,2017-12-06,27.0
199-D5-146,2018-02-21,20.0
199-D5-146,2018-03-14,18.0
199-D5-146,2018-04-05,10.0
199-D5-146,2018-05-10,14.0
199-D5-146,2018-06-11,15.0
199-D5-146,2018-07-09,11.0
199-D5-146,2018-08-06,23.0
199-D5-146,2018-09-11,17.0
199-D5-146,2018-10-11,7.0
199-D5-146,2018-11-07,5.0
199-D5-146,2018-12-03,12.0
199-D5-146,2019-01-10,20.0
199-D5-146,2019-02-07,13.0
199-D5-146,2019-03-06,7.0
199-D5-146,2019-04-01,17.0
199-D5-146,2019-05-09,3.0
199-D5-146,2019-05-28,7.14
199-D5-146,2019-06-17,5.0
199-D5-146,2019-07-01,8.0
199-D5-146,2019-08-05,8.0
199-D5-146,2019-08-19,7.67
199-D5-146,2019-10-07,8.0
199-D5-146,2019-11-07,13.0
199-D5-146,2019-11-21,7.73
199-D5-146,2019-12-16,1.0
199-D5-146,2020-01-07,3.0
199-D5-146,2020-02-13,18.0
199-D5-146,2020-02-25,7.49
199-D5-146,2020-03-03,9.0
199-D5-146,2020-08-13,4.0
199-D5-146,2020-08-31,7.74
199-D5-146,2020-09-23,11.0
199-D5-146,2020-10-15,15.0
199-D5-146,2020-11-02,8.09
199-D5-146,2020-11-12,23.0
199-D5-146,2021-01-21,19.0
199-D5-146,2021-02-09,10.2
199-D5-146,2021-02-10,8.0
199-D5-146,2021-03-10,7.0
199-D5-146,2021-04-07,10.0
199-D5-146,2021-04-19,9.71
199-D5-146,2021-05-12,8.0
199-D5-146,2021-06-02,5.0
199-D5-146,2021-07-15,10.0
199-D5-146,2021-08-03,6.24
199-D5-149,2019-05-21,16.9
199-D5-149,2019-08-06,16.2
199-D5-149,2019-11-04,21.2
199-D5-149,2020-02-12,10.4
199-D5-149,2020-08-17,12.3
199-D5-149,2020-11-10,15.2
199-D5-149,2021-02-09,9.85
199-D5-149,2021-04-19,17.1
199-D5-149,2021-08-04,21.47
199-D5-150,2019-05-21,3.23
199-D5-150,2019-08-06,2.52
199-D5-150,2020-02-12,2.25
199-D5-150,2020-08-17,2.01
199-D5-150,2020-11-12,2.27
199-D5-150,2021-02-09,3.21
199-D5-150,2021-04-19,2.63
199-D5-150,2021-08-05,2.5
199-D5-151,2019-05-21,45.3
199-D5-151,2019-10-31,58.5
199-D5-151,2020-02-13,28.4
199-D5-151,2020-11-12,44.4
199-D5-151,2021-05-18,20.2
199-D5-152,2019-05-21,9.67
199-D5-152,2019-10-31,7.16
199-D5-152,2020-02-13,8.06
199-D5-152,2020-11-12,7.8
199-D5-152,2021-02-04,9.61
199-D5-152,2021-05-18,11.7
199-D5-160,2019-05-10,263.0
199-D5-160,2021-04-19,74.5
199-H3-2A,2014-03-19,2.0
199-H3-2A,2014-06-20,8.0
199-H3-2A,2014-09-05,8.0
199-H3-2A,2019-11-01,1.3
199-H3-2A,2020-12-18,3.63
199-H3-2C,2014-01-02,65.0
199-H3-2C,2014-02-03,59.0
199-H3-2C,2014-03-03,61.0
199-H3-2C,2014-03-19,66.4
199-H3-2C,2014-04-01,62.0
199-H3-2C,2014-05-12,61.0
199-H3-2C,2014-06-04,61.0
199-H3-2C,2014-07-02,61.0
199-H3-2C,2014-08-05,61.0
199-H3-2C,2014-09-04,61.0
199-H3-2C,2014-10-02,58.0
199-H3-2C,2014-11-04,62.0
199-H3-2C,2014-12-02,65.0
199-H3-2C,2014-12-16,64.6
199-H3-2C,2015-01-06,64.0
199-H3-2C,2015-02-04,68.0
199-H3-2C,2015-03-04,64.0
199-H3-2C,2015-04-02,62.0
199-H3-2C,2015-05-04,39.0
199-H3-2C,2015-06-04,21.0
199-H3-2C,2015-07-06,63.0
199-H3-2C,2015-08-03,78.0
199-H3-2C,2015-09-08,63.0
199-H3-2C,2015-10-05,67.0
199-H3-2C,2015-11-02,57.0
199-H3-2C,2015-12-01,60.0
199-H3-2C,2016-01-04,57.0
199-H3-2C,2016-02-01,61.0
199-H3-2C,2016-03-01,63.0
199-H3-2C,2016-04-05,67.0
199-H3-2C,2016-04-21,62.0
199-H3-2C,2016-04-25,62.0
199-H3-2C,2016-05-02,61.0
199-H3-2C,2016-05-09,63.0
199-H3-2C,2016-05-16,62.0
199-H3-2C,2016-06-06,62.0
199-H3-2C,2016-06-13,60.0
199-H3-2C,2016-06-27,59.0
199-H3-2C,2016-07-11,63.0
199-H3-2C,2016-07-19,59.0
199-H3-2C,2016-08-01,57.0
199-H3-2C,2016-08-09,65.0
199-H3-2C,2016-08-15,49.0
199-H3-2C,2016-08-22,59.0
199-H3-2C,2016-08-31,61.0
199-H3-2C,2016-09-06,61.0
199-H3-2C,2016-09-13,53.0
199-H3-2C,2016-09-19,52.0
199-H3-2C,2016-09-28,57.0
199-H3-2C,2016-10-03,58.0
199-H3-2C,2016-11-01,60.0
199-H3-2C,2016-12-07,60.0
199-H3-2C,2017-01-04,63.0
199-H3-2C,2017-02-01,50.0
199-H3-2C,2017-03-01,56.0
199-H3-2C,2017-04-04,59.0
199-H3-2C,2017-05-01,58.0
199-H3-2C,2017-06-07,56.0
199-H3-2C,2017-07-06,61.0
199-H3-2C,2017-08-01,56.0
199-H3-2C,2017-10-03,57.0
199-H3-2C,2017-11-02,64.0
199-H3-2C,2017-12-04,56.0
199-H3-2C,2018-01-03,54.0
199-H3-2C,2018-02-01,59.0
199-H3-2C,2018-03-06,54.0
199-H3-2C,2018-04-04,52.0
199-H3-2C,2018-05-07,48.0
199-H3-2C,2018-06-06,43.0
199-H3-2C,2018-08-13,33.0
199-H3-2C,2018-09-05,27.0
199-H3-2C,2018-10-01,20.0
199-H3-2C,2018-11-06,35.0
199-H3-2C,2018-12-12,34.0
199-H3-2C,2019-01-02,10.0
199-H3-2C,2019-02-27,25.0
199-H3-2C,2019-03-11,27.0
199-H3-2C,2019-04-17,27.0
199-H3-2C,2019-05-20,29.0
199-H3-2C,2019-06-12,27.0
199-H3-2C,2019-06-19,25.8
199-H3-2C,2019-07-11,28.0
199-H3-2C,2019-08-26,26.0
199-H3-2C,2019-09-30,24.0
199-H3-2C,2019-10-10,26.0
199-H3-2C,2019-11-05,27.0
199-H3-2C,2019-12-04,25.0
199-H3-2C,2019-12-10,24.4
199-H3-2C,2020-01-07,20.0
199-H3-2C,2020-02-19,23.0
199-H3-2C,2020-07-23,20.0
199-H3-2C,2020-08-11,27.0
199-H3-2C,2020-09-09,30.0
199-H3-2C,2020-10-07,24.1
199-H3-2C,2020-10-12,35.0
199-H3-2C,2020-11-12,20.0
199-H3-2C,2020-12-10,19.4
199-H3-2C,2021-01-20,36.0
199-H3-2C,2021-02-09,36.0
199-H3-2C,2021-03-10,24.0
199-H3-2C,2021-04-13,20.0
199-H3-2C,2021-05-17,28.0
199-H3-2C,2021-06-24,19.5
199-H3-2C,2021-06-28,25.0
199-H3-2C,2021-07-07,21.0
199-H3-21,2019-05-20,18.3
199-H3-21,2019-07-11,25.0
199-H3-21,2019-12-05,9.0
199-H3-21,2019-12-10,28.1
199-H3-21,2020-03-12,27.3
199-H3-21,2020-07-23,19.0
199-H3-21,2020-09-09,40.0
199-H3-21,2020-10-12,50.0
199-H3-21,2020-10-27,45.7
199-H3-21,2020-11-12,30.0
199-H3-21,2021-01-20,22.0
199-H3-21,2021-02-09,29.0
199-H3-21,2021-03-10,28.0
199-H3-21,2021-03-22,29.1
199-H3-21,2021-04-13,42.0
199-H3-21,2021-05-05,23.7
199-H3-21,2021-05-17,21.0
199-H3-21,2021-06-28,23.0
199-H3-21,2021-07-07,16.0
199-H3-21,2021-08-24,22.96
199-H3-29,2018-07-10,210.0
199-H3-29,2018-07-23,251.0
199-H3-29,2018-07-30,255.0
199-H3-29,2018-08-13,253.0
199-H3-29,2018-09-05,251.0
199-H3-29,2018-10-01,233.0
199-H3-29,2018-11-06,269.0
199-H3-29,2018-12-12,249.0
199-H3-29,2019-01-02,245.0
199-H3-29,2019-02-27,229.0
199-H3-29,2019-03-11,237.0
199-H3-29,2019-04-17,237.0
199-H3-29,2019-05-20,225.0
199-H3-29,2019-06-12,224.0
199-H3-29,2019-06-26,227.0
199-H3-29,2019-08-26,191.0
199-H3-29,2019-10-10,184.0
199-H3-29,2019-10-30,174.0
199-H3-29,2019-11-05,182.0
199-H3-29,2019-12-04,176.0
199-H3-29,2020-01-07,171.0
199-H3-29,2020-02-19,152.0
199-H3-29,2020-02-24,199.0
199-H3-29,2020-07-23,142.0
199-H3-29,2020-09-09,145.0
199-H3-29,2020-10-12,138.0
