NAME,DATE,STD_VALUE_RPTD,REVIEW_QUALIFIER
199-D2-14,2021-05-13,2.7,
199-D2-14,2023-10-13,49.6,
199-D2-14,2023-11-28,70.2,
199-D5-103,2007-03-23,393.0,
199-D5-103,2007-04-10,166.0,
199-D5-103,2007-04-10,170.0,
199-D5-103,2007-04-10,175.0,
199-D5-103,2007-04-10,182.0,
199-D5-103,2007-04-10,181.0,
199-D5-103,2007-04-10,180.0,
199-D5-103,2007-04-10,185.0,
199-D5-103,2007-04-10,188.0,
199-D5-103,2007-04-10,187.0,
199-D5-103,2007-04-10,84.0,
199-D5-103,2007-04-24,250.0,
199-D5-103,2007-05-10,254.0,
199-D5-103,2007-05-30,286.0,
199-D5-103,2007-06-11,275.0,
199-D5-103,2007-06-25,240.0,
199-D5-103,2007-07-09,221.0,
199-D5-103,2007-07-24,221.0,
199-D5-103,2007-07-24,220.0,
199-D5-103,2007-08-09,185.0,
199-D5-103,2007-08-22,185.0,
199-D5-103,2007-09-05,180.0,
199-D5-103,2007-09-19,176.0,
199-D5-103,2007-10-04,157.0,
199-D5-103,2007-10-17,149.0,
199-D5-103,2007-11-01,144.0,
199-D5-103,2007-11-15,148.0,
199-D5-103,2007-11-29,158.0,GH
199-D5-103,2007-12-13,154.0,
199-D5-103,2007-12-27,155.0,
199-D5-103,2008-01-07,164.0,
199-D5-103,2008-01-07,161.0,
199-D5-103,2008-02-12,172.0,
199-D5-103,2008-03-10,149.0,
199-D5-103,2008-04-21,147.0,
199-D5-103,2008-05-28,128.0,
199-D5-103,2008-06-24,79.6,
199-D5-103,2008-07-31,78.0,
199-D5-103,2008-07-31,76.6,
199-D5-103,2008-08-13,90.6,
199-D5-103,2008-09-05,141.0,
199-D5-103,2008-11-19,135.0,
199-D5-103,2008-12-03,154.0,
199-D5-103,2009-01-20,118.0,
199-D5-103,2009-02-12,112.0,
199-D5-103,2009-03-09,137.0,
199-D5-103,2009-04-13,156.0,
199-D5-103,2009-05-18,139.0,H
199-D5-103,2009-05-18,140.0,H
199-D5-103,2009-06-15,79.3,
199-D5-103,2009-06-15,73.7,
199-D5-103,2009-06-15,77.7,
199-D5-103,2009-06-15,74.2,
199-D5-103,2009-08-11,102.0,
199-D5-103,2009-08-11,105.0,
199-D5-103,2009-09-14,160.0,
199-D5-103,2009-09-14,158.0,
199-D5-103,2009-10-08,166.0,
199-D5-103,2009-10-08,164.0,
199-D5-103,2009-11-05,158.0,
199-D5-103,2009-11-05,160.0,
199-D5-103,2009-12-15,165.0,
199-D5-103,2010-01-15,150.0,
199-D5-103,2010-02-11,148.0,
199-D5-103,2010-03-11,160.0,
199-D5-103,2010-03-11,161.0,
199-D5-103,2010-04-14,134.0,
199-D5-103,2010-04-14,135.0,
199-D5-103,2010-05-14,122.0,
199-D5-103,2010-05-14,123.0,
199-D5-103,2010-06-22,120.0,
199-D5-103,2010-06-22,119.0,
199-D5-103,2010-06-22,118.0,
199-D5-103,2010-07-20,122.0,
199-D5-103,2010-07-20,123.0,
199-D5-103,2010-07-20,119.0,
199-D5-103,2010-07-20,118.0,
199-D5-103,2010-08-23,129.0,
199-D5-103,2010-08-23,128.0,
199-D5-103,2010-08-23,124.0,
199-D5-103,2010-09-09,122.0,
199-D5-103,2010-09-09,121.0,
199-D5-103,2011-01-30,105.0,
199-D5-103,2011-01-30,112.0,
199-D5-103,2011-03-07,66.7,
199-D5-103,2011-03-07,66.2,
199-D5-103,2011-03-07,66.3,
199-D5-103,2011-03-07,67.0,
199-D5-103,2011-04-06,73.7,
199-D5-103,2011-05-02,96.6,
199-D5-103,2011-05-02,95.6,
199-D5-103,2011-05-24,110.0,
199-D5-103,2011-05-24,109.0,
199-D5-103,2012-04-17,230.0,
199-D5-103,2012-12-11,666.0,
199-D5-103,2013-09-20,1520.0,
199-D5-103,2013-10-16,1380.0,
199-D5-103,2013-11-25,1300.0,
199-D5-103,2013-12-13,1140.0,
199-D5-103,2014-01-22,1030.0,
199-D5-103,2014-01-31,585.0,
199-D5-103,2014-02-14,474.0,
199-D5-103,2014-03-07,797.0,
199-D5-103,2014-03-21,663.0,
199-D5-103,2014-04-04,871.0,
199-D5-103,2014-04-18,947.0,
199-D5-103,2014-04-30,785.0,
199-D5-103,2014-12-17,307.0,Q
199-D5-103,2015-01-16,245.0,
199-D5-103,2015-02-19,206.0,
199-D5-103,2015-02-19,208.0,
199-D5-103,2015-03-24,183.0,
